id,x,y,z,vx,vy,vz,energy,frequency,phase,spin
79,-7.0536,1.1771,-70.1638,0.090313,-0.015090,0.898437,2.6872,2.0000,5.2692,-1
25,1.2970,0.0388,1.3187,2.901774,-3.961222,7.896226,0.7215,1.5000,3.9986,-1
45,-1.4038,0.6647,-0.2943,4.207885,-4.593412,1.877756,2.1087,0.6660,3.4301,1
58,1.1819,-0.2706,-0.8931,-2.221911,3.660508,5.349265,0.8501,1.5000,4.7191,-1
9,-2.8140,2.2973,-1.7903,-5.651931,3.414863,-3.551256,2.2634,1.0000,4.9945,-1
92,0.6851,0.4109,0.4433,11.214098,3.350821,3.290019,0.9325,1.3330,2.2950,1
49,0.5338,1.2873,0.7359,-3.248769,-2.208845,0.619397,0.9331,0.6660,4.2247,1
12,2.3949,-2.6408,1.4368,-0.979005,1.064540,-0.607999,2.8885,1.6180,1.7434,1
51,-0.9033,-0.1874,0.9776,6.085574,0.799550,3.382152,1.5948,1.5000,4.7320,1
20,-2.8929,3.6969,-2.3578,0.683771,-0.931060,0.610876,3.1399,1.0000,5.5976,1
2,7.6146,-3.3619,58.8872,-0.115752,0.051137,-0.895392,2.9499,1.3330,2.8792,-1
42,2.0967,0.7379,0.3183,-2.719418,0.368707,-0.995432,2.0956,1.0000,5.2448,1
54,-2.2135,-1.0117,-1.4152,-0.205340,-0.279923,0.480038,0.9991,1.6180,5.8268,1
62,-0.2614,-0.3128,-0.6100,3.042405,-1.598330,-6.074014,2.7710,1.0000,2.3066,-1
100,-0.6736,6.2946,3.0711,0.080479,-1.074460,-0.469336,2.1189,1.3330,4.3894,-1
8,0.3014,-0.1838,-0.1469,-3.828159,-0.045088,-8.984139,0.9963,1.5000,0.4794,-1
22,-5.6856,3.2683,7.0069,0.615198,-0.348461,-0.769601,2.5510,1.6180,5.5799,1
23,-0.6296,-2.3078,0.9797,0.526349,1.777458,-0.782246,1.9398,1.6180,3.9251,-1
35,13.1502,-8.2512,2.3137,-0.802589,0.505783,-0.147252,1.3681,1.3330,4.6661,-1
91,1.0114,-0.6100,-0.6415,-1.169969,2.215028,-0.985430,1.5548,0.5000,4.9075,-1
69,0.4687,-0.0869,-0.6124,5.241103,-8.040645,-1.946062,2.0113,1.6180,1.2892,1
31,5.2618,-1.9924,-3.2492,-0.995354,0.364479,0.564234,2.1773,2.0000,6.1562,1
3,0.0886,0.1997,0.0518,-2.079038,-2.284089,9.800879,1.4182,1.6180,3.2723,1
29,-0.4870,0.0346,0.7357,-4.282333,-0.866777,8.285247,3.1277,2.0000,4.3681,-1
99,-7.7889,2.4440,-0.0852,1.045598,-0.312610,0.007919,2.2321,1.5000,4.0068,-1
67,0.3599,-0.1020,-0.7071,-4.855804,0.688592,1.255744,1.5676,1.0000,1.6526,1
24,0.7388,-0.6998,1.0518,1.101110,-3.748682,-4.537702,1.0483,1.0000,2.1770,1
50,3.2776,-1.2400,-3.9568,-0.774997,0.275096,0.980014,3.1252,1.6180,2.3736,-1
82,-0.4516,0.1339,1.1189,-0.121581,0.209638,2.812955,0.5443,1.5000,4.0232,-1
87,-0.7250,0.1170,0.0686,8.220915,4.756332,-3.347184,0.6997,2.0000,3.9740,-1
68,0.1089,0.6098,-0.4252,-1.960775,6.278432,-1.293532,0.5750,1.6180,0.7536,-1
64,-0.0848,0.5212,-0.4332,-5.601483,-7.872073,0.840514,2.5765,1.0000,4.7684,1
59,-0.6388,-2.0764,-1.0059,0.830779,1.384738,0.742507,0.5995,1.0000,3.9444,-1
7,1.7741,-0.4614,-1.2866,21.619928,-7.554440,-15.957374,2.6074,1.3330,5.8862,1
52,10.7664,0.8902,3.0052,-0.944776,-0.084353,-0.272862,1.9055,1.6180,0.7597,-1
44,0.0432,-1.0269,0.8586,1.090076,6.799142,0.635343,0.9123,2.0000,5.7188,-1
65,-93.8137,137.0470,40.6187,0.494129,-0.721843,-0.213943,3.0447,2.0000,3.1817,-1
76,0.9425,-0.0165,1.8801,3.448609,-2.728967,8.569360,2.7682,1.3330,4.0398,-1
63,-12.5286,-4.8752,-2.1665,0.897054,0.351735,0.155317,2.9190,2.0000,3.2952,1
56,0.3263,0.3978,1.0857,2.227721,-1.509243,1.177465,3.1816,1.0000,4.2489,-1
26,1.0313,1.5728,-2.6814,0.154084,-0.539343,0.646268,0.7338,1.6180,3.4011,-1
81,-0.1385,-0.2722,-0.2868,-2.397822,0.147632,-1.180772,1.6862,1.5000,4.3152,-1
34,0.0035,0.7207,0.4618,7.738858,3.206884,5.827900,2.8349,1.0000,0.4254,-1
72,0.3091,-0.2120,0.0381,2.683548,-1.111938,7.432225,2.4042,1.0000,2.9393,-1
84,0.9300,-2.1087,-0.6695,-0.139050,3.527319,-0.008232,3.3973,0.6660,5.0949,-1
1,1.5666,-0.5629,-0.5296,2.887987,-3.380221,-1.280028,0.7302,1.0000,1.4888,-1
43,0.4462,1.1983,-0.7942,-1.934957,-5.461076,4.055198,2.6394,1.3330,2.9005,-1
16,1.2618,-0.8941,0.4966,-4.699586,0.655348,-3.660257,2.2504,2.0000,4.2755,-1
46,-0.3968,0.7827,0.3654,-8.379986,-0.630198,-5.672954,1.7609,1.0000,0.6678,1
61,0.0241,-0.1732,-0.1010,1.080024,2.147764,-1.882599,0.8813,0.6660,1.5590,-1
83,0.4443,0.1781,0.0081,-1.948995,-4.137972,-9.942945,0.6061,1.6180,3.1112,1
95,-2.2454,-0.5510,-0.7315,-1.946844,1.656895,-2.068822,2.4844,0.6660,0.1993,1
