id,x,y,z,vx,vy,vz,energy,frequency,phase,spin
8847,0.2532,247.0013,39.2229,2.124703,11.939455,3.523368,2.6469,1.3330,5.4401,-1
8375,45.0371,124.5882,35.8981,-2.304477,14.551528,9.859632,0.9592,0.6660,1.1580,1
153334,168.6583,106.9217,16.0930,16.407306,9.615992,-1.496024,7.0435,1.5000,0.6455,-1
1801,33.8476,3.0282,-61.4276,16.350812,-2.524430,-10.548360,0.8489,1.5000,2.6048,1
8298,-17.5078,-144.3431,-36.8837,-2.199092,-5.606093,4.891034,2.8481,0.6660,5.4681,-1
153425,-164.4114,56.0075,-616.2830,-13.153746,4.565268,-43.267590,78.2780,2.0000,5.7688,1
3944,72.3409,-128.0331,10.1635,-3.784321,-6.770065,13.627080,0.9130,1.3330,0.9054,-1
2729,64.7807,-183.7874,-85.2722,4.571286,-12.606530,-7.665010,2.3005,0.5000,3.9443,1
2441,85.1559,124.2702,-27.7624,-0.486077,8.465114,2.121341,3.2868,1.0000,3.2991,1
1907,50.5551,34.7587,-7.5686,2.018299,-2.745825,7.507638,2.7819,0.6660,0.9178,-1
9453,235.9882,179.5449,43.9437,14.441718,13.362064,0.602624,1.7502,0.5000,3.3187,-1
9698,99.2601,73.1554,-108.6744,8.325363,0.761716,-3.527470,2.8885,1.0000,1.9883,1
1693,-152.1521,50.1002,-147.6043,-9.495851,0.962634,-2.852921,2.3732,1.5000,1.3143,1
113759,-40.5156,94.8242,102.5641,-5.518210,7.037689,0.833502,3.6261,0.6660,0.4646,1
4500,5.4774,14.7780,11.5206,-2.535465,10.833909,-15.266808,1.3987,1.6180,4.4484,1
654,73.6850,-122.2907,-76.2225,0.494688,-2.411372,-5.186961,1.6643,1.3330,5.6735,1
3242,21.0269,-9.8722,-6.1141,-2.754842,1.275452,0.533119,2.7811,2.0000,2.3229,-1
8408,-129.6074,123.4598,-231.2612,-6.306372,9.495348,-13.201443,1.3289,1.5000,0.9239,1
5932,51.5350,-44.7845,-44.9879,4.131392,-1.476774,-7.829149,1.3541,1.5000,2.6455,1
