id,x,y,z,vx,vy,vz,energy,frequency,phase,spin
4,0.3812,-1.0891,1.9951,-0.185659,1.024550,-1.120431,1.2404,1.6180,6.1457,1
5,143.6189,229.1259,131.4505,-0.429902,-0.685854,-0.393477,2.2551,0.5000,1.1550,1
12,-0.7865,-2.0753,1.1958,0.192931,0.621545,-0.368846,0.5872,1.3330,5.0631,1
10,-93.5812,-145.5282,-84.5422,0.437386,0.680179,0.395139,2.9199,1.3330,6.1580,1
6,-0.0920,0.6478,0.1245,0.039675,-2.479339,1.261906,1.7752,1.6180,4.7727,-1
3,-11.9873,-13.1309,-11.0363,0.517300,0.566707,0.476354,1.6782,2.0000,5.6688,-1
8,0.6544,-0.1691,2.2288,0.722861,-1.130413,2.657084,1.9904,1.3330,2.8816,-1
1,-1.5101,2.2225,-2.5791,0.384988,-0.567422,0.668521,2.2643,2.0000,2.2928,-1
9,0.0306,-0.0035,1.2375,0.536505,2.086373,0.389843,3.1199,1.6180,6.2418,-1
2,1.1418,0.0386,1.9109,-1.468299,-0.180666,-1.004392,1.4842,1.3330,5.8263,-1
11,10.3518,9.0282,10.5607,-0.540714,-0.471556,-0.551397,1.9696,1.0000,1.8650,1
7,-0.6667,-0.2067,-0.1211,-1.706210,-0.030963,-2.994612,2.9943,1.3330,3.8247,-1
