"CID","Title","MolecularFormula","ConnectivitySMILES","MolecularWeight"
11501,"4-Benzylideneaminophenol","C13H11NO","C1=CC=C(C=C1)C=NC2=CC=C(C=C2)O",197.23
11502,"Stilbene","C14H12","C1=CC=C(C=C1)C=CC2=CC=CC=C2",180.24
11503,"N-Methylbenzeneethanamine","C9H13N","CNCCC1=CC=CC=C1",135.21
11504,"4-Ethylaniline","C8H11N","CCC1=CC=C(C=C1)N",121.18
11505,"4-Methylbenzyl alcohol","C8H10O","CC1=CC=C(C=C1)CO",122.16
11506,"1,4-Benzenedimethanol","C8H10O2","C1=CC(=CC=C1CO)CO",138.16
11507,"3-Methylhexane","C7H16","CCCC(C)CC",100.20
11508,"3-Methyl-1-pentanol","C6H14O","CCC(C)CCO",102.17
11509,"3-Hexanone","C6H12O","CCCC(=O)CC",100.16
11510,"Hydroxyurethane","C3H7NO3","CCOC(=O)NO",105.09
11511,"2,4-Dimethylhexane","C8H18","CCC(C)CC(C)C",114.23
11512,"4-Methylheptane","C8H18","CCCC(C)CCC",114.23
11513,"4-Heptanol","C7H16O","CCCC(CCC)O",116.20
11514,"Isobutyl isovalerate","C9H18O2","CC(C)CC(=O)OCC(C)C",158.24
11515,"4-Octanol","C8H18O","CCCCC(CCC)O",130.23
11516,"Octan-4-one","C8H16O","CCCCC(=O)CCC",128.21
11517,"Butyl octanoate","C12H24O2","CCCCCCCC(=O)OCCCC",200.32
11518,"Ethyl 6-fluorohexanoate","C8H15FO2","CCOC(=O)CCCCCF",162.20
11519,"3-Methylheptane","C8H18","CCCCC(C)CC",114.23
11520,"3-Heptanol","C7H16O","CCCCC(CC)O",116.20
11521,"Propyl hydroxycarbamate","C4H9NO3","CCCOC(=O)NO",119.12
11522,"1-Bromo-4-iodobenzene","C6H4BrI","C1=CC(=CC=C1Br)I",282.90
11523,"1,4-Dimethylcyclohexane","C8H16","CC1CCC(CC1)C",112.21
11524,"4-Methylcyclohexanol","C7H14O","CC1CCC(CC1)O",114.19
11525,"4-Methylcyclohexanone","C7H12O","CC1CCC(=O)CC1",112.17
11526,"2,5-Dimethylpyridine","C7H9N","CC1=CN=C(C=C1)C",107.15
11527,"3-Octanol","C8H18O","CCCCCC(CC)O",130.23
11528,"","C6H7KO2","CC=CC=CC(=O)[O-].[K+]",150.22
11529,"Butyl propionate","C7H14O2","CCCCOC(=O)CC",130.18
11530,"Butyl chloroacetate","C6H11ClO2","CCCCOC(=O)CCl",150.60
11531,"2-Octanone, 1-fluoro-","C8H15FO","CCCCCCC(=O)CF",146.20
11532,"Pentyl hydroxycarbamate","C6H13NO3","CCCCCOC(=O)NO",147.17
11533,"1-Bromo-1-propene","C3H5Br","CC=CBr",120.98
11534,"Bromoacetonitrile","C2H2BrN","C(C#N)Br",119.95
11535,"1,2-Butadiene","C4H6","CC=C=C",54.09
11536,"1-Chloro-1-propene","C3H5Cl","CC=CCl",76.52
11537,"1,2-Diiodoethene","C2H2I2","C(=CI)I",279.85
11538,"","CKNO","C(#N)[O-].[K+]",81.115
11539,"","CHKO2","C(=O)[O-].[K+]",84.116
11540,"3-Methoxyprop-2-enyl(trimethyl)azanium bromide","C7H16BrNO","C[N+](C)(C)CC=COC.[Br-]",210.11
11541,"3-Methoxyprop-2-enyl(trimethyl)azanium","C7H16NO+","C[N+](C)(C)CC=COC",130.21
11542,"2,2-Dimethylpentane","C7H16","CCCC(C)(C)C",100.20
11543,"2-Methylpentan-2-ol","C6H14O","CCCC(C)(C)O",102.17
11544,"tert-Butyl isothiocyanate","C5H9NS","CC(C)(C)N=C=S",115.20
11545,"Betaine chloride","C5H12ClNO2","C[N+](C)(C)CC(=O)O.[Cl-]",153.61
11546,"4,4-Dimethyl-2-pentanone","C7H14O","CC(=O)CC(C)(C)C",114.19
11547,"4130 HC","C7H19NO5P2","CCOP(OCC)OP(=O)(N(C)C)OC",259.18
11548,"Bethanechol Chloride","C7H17ClN2O2","CC(C[N+](C)(C)C)OC(=O)N.[Cl-]",196.67
11549,"1,1-Dimethylcyclohexane","C8H16","CC1(CCCCC1)C",112.21
11550,"1-Methylcyclohexanol","C7H14O","CC1(CCCCC1)O",114.19
11551,"2,2-Dimethylhexane","C8H18","CCCCC(C)(C)C",114.23
11552,"3-Methylbutanal","C5H10O","CC(C)CC=O",86.13
11553,"3-Bromopropionic acid","C3H5BrO2","C(CBr)C(=O)O",152.97
11554,"Hydroxymethylimino-methyl-oxidoazanium","C2H6N2O2","C[N+](=NCO)[O-]",90.08
11555,"Dicyanodiamidine sulfate","C4H14N8O6S","C(=NC(=O)N)(N)N.C(=NC(=O)N)(N)N.OS(=O)(=O)O",302.27
11556,"","C3H6N2OS","CC(=O)N=C(N)S",118.16
11557,"Acetyl nitrate","C2H3NO4","CC(=O)O[N+](=O)[O-]",105.05
11558,"4-Hydroxy-2-pentenoic acid gamma-lactone","C5H6O2","CC1C=CC(=O)O1",98.10
11559,"alpha-Angelica lactone","C5H6O2","CC1=CCC(=O)O1",98.10
11560,"3-Bromotoluene","C7H7Br","CC1=CC(=CC=C1)Br",171.03
11561,"Benzene, 1-bromo-3-iodo-","C6H4BrI","C1=CC(=CC(=C1)I)Br",282.90
11562,"3-Bromoaniline","C6H6BrN","C1=CC(=CC(=C1)Br)N",172.02
11563,"3-Bromophenol","C6H5BrO","C1=CC(=CC(=C1)Br)O",173.01
11564,"1,3-Dimethylcyclohexane","C8H16","CC1CCCC(C1)C",112.21
11565,"3,5-Dimethylpyridine","C7H9N","CC1=CC(=CN=C1)C",107.15
11566,"3-Methylcyclohexanol","C7H14O","CC1CCCC(C1)O",114.19
11567,"3-Methylcyclohexanone","C7H12O","CC1CCCC(=O)C1",112.17
11568,"3-Aminophenol","C6H7NO","C1=CC(=CC(=C1)O)N",109.13
11569,"3-Methoxybenzaldehyde","C8H8O2","COC1=CC=CC(=C1)C=O",136.15
11570,"3'-Ethoxyacetanilide","C10H13NO2","CCOC1=CC=CC(=C1)NC(=O)C",179.22
11571,"3,5-Dichlorophenol","C6H4Cl2O","C1=C(C=C(C=C1Cl)Cl)O",163.00
11572,"4-Methylcyclohexene","C7H12","CC1CCC=CC1",96.17
11573,"3-Methylcyclohexene","C7H12","CC1CCCC=C1",96.17
11574,"1-Methylcyclohexene","C7H12","CC1=CCCCC1",96.17
11575,"Iodobenzene","C6H5I","C1=CC=C(C=C1)I",204.01
11576,"Butyl acetoacetate","C8H14O3","CCCCOC(=O)CC(=O)C",158.19
11577,"Carbamic acid, N-butyl-, ethyl ester","C7H15NO2","CCCCNC(=O)OCC",145.20
11578,"Pentanoic acid, 4-oxo-, calcium salt","C10H14CaO6","CC(=O)CCC(=O)[O-].CC(=O)CCC(=O)[O-].[Ca+2]",270.29
11579,"Levulinic Acid","C5H8O3","CC(=O)CCC(=O)O",116.11
11580,"2-Fluoroethyl 6-fluorohexanoate","C8H14F2O2","C(CCC(=O)OCCF)CCF",180.19
11581,"Decanoic acid, 10-fluoro-, 2-fluoroethyl ester","C12H22F2O2","C(CCCCC(=O)OCCF)CCCCF",236.30
11582,"2-Methylhexane","C7H16","CCCCC(C)C",100.20
11583,"2-Hexanone","C6H12O","CCCCC(=O)C",100.16
11584,"Allyl acetate","C5H8O2","CC(=O)OCC=C",100.12
11585,"Mercuric potassium cyanide","C4HgK2N4","C(#N)[Hg-2](C#N)(C#N)C#N.[K+].[K+]",382.86
11586,"Tetracyanomercury(2-)","C4HgN4-2","C(#N)[Hg-2](C#N)(C#N)C#N",304.66
11587,"1,4-Pentadiene","C5H8","C=CCC=C",68.12
11588,"Penta-1,2-diene","C5H8","CCC=C=C",68.12
11589,"Crotyl chloride","C4H7Cl","CC=CCCl",90.55
11590,"Calcium cyanide Ca(CN)2","C2CaN2","[C-]#N.[C-]#N.[Ca+2]",92.11
11591,"Mercuric cyanide","C2HgN2","C(#N)[Hg]C#N",252.63
11592,"2,5-Dimethylhexane","C8H18","CC(C)CCC(C)C",114.23
11593,"Acetoxyacetone","C5H8O3","CC(=O)COC(=O)C",116.11
11594,"2-Methylheptane","C8H18","CCCCCC(C)C",114.23
11595,"Butylurea","C5H12N2O","CCCCNC(=O)N",116.16
