"CID","Title","MolecularFormula","ConnectivitySMILES","MolecularWeight"
49501,"3-Ethyl-7-methoxy-2-methyl-8-(piperidin-1-ylmethyl)chromen-4-one","C19H25NO3","CCC1=C(OC2=C(C1=O)C=CC(=C2CN3CCCCC3)OC)C",315.4
49502,"","C15H18ClNO4","CC1=COC2=C(C(=O)C=CC2=C1O)C[NH+]3CCOCC3.[Cl-]",311.76
49503,"","C15H17NO4","CC1=COC2=C(C(=O)C=CC2=C1O)CN3CCOCC3",275.30
49504,"Chromone, 7-hydroxy-2-methyl-8-piperidinomethyl-, hydrochloride","C16H20ClNO3","CC1=CC(=O)C2=C(O1)C(=C(C=C2)O)C[NH+]3CCCCC3.[Cl-]",309.79
49505,"7-Hydroxy-2-methyl-8-(piperidin-1-ylmethyl)chromen-4-one","C16H19NO3","CC1=CC(=O)C2=C(O1)C(=C(C=C2)O)CN3CCCCC3",273.33
49506,"","C16H20ClNO3","CC1=COC2=C(C(=O)C=CC2=C1O)C[NH+]3CCCCC3.[Cl-]",309.79
49507,"","C16H19NO3","CC1=COC2=C(C(=O)C=CC2=C1O)CN3CCCCC3",273.33
49508,"Carbamic acid, 3,4,5-trimethoxybenzyl ester","C11H15NO5","COC1=CC(=CC(=C1OC)OC)COC(=O)N",241.24
49509,"Carbanilic acid, 2-(sec-butylamino)ethyl ester, hydrochloride","C13H21ClN2O2","CCC(C)[NH2+]CCOC(=O)NC1=CC=CC=C1.[Cl-]",272.77
49510,"2-(butan-2-ylamino)ethyl N-phenylcarbamate","C13H20N2O2","CCC(C)NCCOC(=O)NC1=CC=CC=C1",236.31
49511,"Carbanilic acid, (2-cyclohexylamino-1,1-dimethylethyl) ester, hydrochloride","C17H27ClN2O2","CC(C)(C[NH2+]C1CCCCC1)OC(=O)NC2=CC=CC=C2.[Cl-]",326.9
49512,"[1-(cyclohexylamino)-2-methylpropan-2-yl] N-phenylcarbamate","C17H26N2O2","CC(C)(CNC1CCCCC1)OC(=O)NC2=CC=CC=C2",290.4
49513,"2-(Cyclohexylamino)ethyl hydrogen phenylcarbonimidate--hydrogen chloride (1/1)","C15H23ClN2O2","C1CCC(CC1)[NH2+]CCOC(=O)NC2=CC=CC=C2.[Cl-]",298.81
49514,"2-(cyclohexylamino)ethyl N-phenylcarbamate","C15H22N2O2","C1CCC(CC1)NCCOC(=O)NC2=CC=CC=C2",262.35
49515,"Carbanilic acid, 2-(cyclohexylamino)propyl ester, hydrochloride","C16H25ClN2O2","C1CCC(CC1)[NH2+]CCCOC(=O)NC2=CC=CC=C2.[Cl-]",312.83
49516,"3-(cyclohexylamino)propyl N-phenylcarbamate","C16H24N2O2","C1CCC(CC1)NCCCOC(=O)NC2=CC=CC=C2",276.37
49517,"Carbanilic acid, diester with 2,2'-((2-butoxy-3-methoxyphenethyl)nitrilo)diethanol, hydrochloride","C31H40ClN3O6","CCCCOC1=C(C=CC=C1OC)CC[NH+](CCOC(=O)NC2=CC=CC=C2)CCOC(=O)NC3=CC=CC=C3.[Cl-]",586.1
49518,"2-[2-(2-butoxy-3-methoxyphenyl)ethyl-[2-(phenylcarbamoyloxy)ethyl]amino]ethyl N-phenylcarbamate","C31H39N3O6","CCCCOC1=C(C=CC=C1OC)CCN(CCOC(=O)NC2=CC=CC=C2)CCOC(=O)NC3=CC=CC=C3",549.7
49519,"Carbanilic acid, (4-(dimethylamino)-2,2-diphenyl-1-ethyl)pentyl ester, hydrochloride, hydrate","C28H35ClN2O2","CCC(C(CC(C)[NH+](C)C)(C1=CC=CC=C1)C2=CC=CC=C2)OC(=O)NC3=CC=CC=C3.[Cl-]",467.0
49520,"[6-(dimethylamino)-4,4-diphenylheptan-3-yl] N-phenylcarbamate","C28H34N2O2","CCC(C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2)OC(=O)NC3=CC=CC=C3",430.6
49521,"Carbanilic acid, (2-(dimethylamino)-1-methyl-1-phenethyl)ethyl ester, hydrochloride","C20H27ClN2O2","CC(CCC1=CC=CC=C1)(C[NH+](C)C)OC(=O)NC2=CC=CC=C2.[Cl-]",362.9
49522,"Carbanilic acid, 1-(dimethylaminomethyl)-1-methyl-3-phenylpropyl ester","C20H26N2O2","CC(CCC1=CC=CC=C1)(CN(C)C)OC(=O)NC2=CC=CC=C2",326.4
49523,"Carbanilic acid, 2-((1-methylbutyl)amino)ethyl ester, hydrochloride","C14H23ClN2O2","CCCC(C)[NH2+]CCOC(=O)NC1=CC=CC=C1.[Cl-]",286.80
49524,"2-(pentan-2-ylamino)ethyl N-phenylcarbamate","C14H22N2O2","CCCC(C)NCCOC(=O)NC1=CC=CC=C1",250.34
49525,"Carbanilic acid, 2-((1-methylheptyl)amino)ethyl ester, hydrochloride","C17H29ClN2O2","CCCCCCC(C)[NH2+]CCOC(=O)NC1=CC=CC=C1.[Cl-]",328.9
49526,"2-(octan-2-ylamino)ethyl N-phenylcarbamate","C17H28N2O2","CCCCCCC(C)NCCOC(=O)NC1=CC=CC=C1",292.4
49527,"Carbanilic acid, 3-(2-methylpiperidino)propyl ester, hydrochloride","C16H25ClN2O2","CC1CCCC[NH+]1CCCOC(=O)NC2=CC=CC=C2.[Cl-]",312.83
49528,"2-(Piperidin-2-yl)ethyl hydrogen phenylcarbonimidate--hydrogen chloride (1/1)","C14H21ClN2O2","C1CC[NH2+]C(C1)CCOC(=O)NC2=CC=CC=C2.[Cl-]",284.78
49529,"2-piperidin-2-ylethyl N-phenylcarbamate","C14H20N2O2","C1CCNC(C1)CCOC(=O)NC2=CC=CC=C2",248.32
49530,"Carbazole, 7-chloro-9-(1-methyl-2-piperidyl)methyl-","C19H21ClN2","CN1CCCCC1CN2C3=CC=CC=C3C4=C2C=C(C=C4)Cl",312.8
49531,"Carbazole, 9-(1,5-dimethyl-2-piperidyl)methyl-","C20H24N2","CC1CCC(N(C1)C)CN2C3=CC=CC=C3C4=CC=CC=C42",292.4
49532,"Carbazole, 9-(1,6-dimethyl-2-piperidyl)methyl-","C20H24N2","CC1CCCC(N1C)CN2C3=CC=CC=C3C4=CC=CC=C42",292.4
49533,"Carbazole, 9-(1-ethyl-3-piperidyl)methyl-","C20H24N2","CCN1CCCC(C1)CN2C3=CC=CC=C3C4=CC=CC=C42",292.4
49534,"Carbazole, 9-(1-ethyl-4-piperidyl)methyl-","C20H24N2","CCN1CCC(CC1)CN2C3=CC=CC=C3C4=CC=CC=C42",292.4
49535,"2-Methoxy-9-(1-methylpiperidin-3-yl)-9H-carbazole","C19H22N2O","CN1CCCC(C1)N2C3=CC=CC=C3C4=C2C=C(C=C4)OC",294.4
