"CID","Title","MolecularFormula","ConnectivitySMILES","MolecularWeight"
7401,"4-Methoxybenzenesulfonyl chloride","C7H7ClO3S","COC1=CC=C(C=C1)S(=O)(=O)Cl",206.65
7402,"4-Ethylbenzenesulfonic acid","C8H10O3S","CCC1=CC=C(C=C1)S(=O)(=O)O",186.23
7403,"4-tert-Butylbenzoic acid","C11H14O2","CC(C)(C)C1=CC=C(C=C1)C(=O)O",178.23
7404,"4-Nitrobenzenesulfonyl chloride","C6H4ClNO4S","C1=CC(=CC=C1[N+](=O)[O-])S(=O)(=O)Cl",221.62
7405,"L-Pyroglutamic Acid","C5H7NO3","C1CC(=O)NC1C(=O)O",129.11
7406,"Cumene","C9H12","CC(C)C1=CC=CC=C1",120.19
7407,"Alpha-Methylstyrene","C9H10","CC(=C)C1=CC=CC=C1",118.18
7408,"1-Phenethylamine","C8H11N","CC(C1=CC=CC=C1)N",121.18
7409,"1-Phenylethanol","C8H10O","CC(C1=CC=CC=C1)O",122.16
7410,"Acetophenone","C8H8O","CC(=O)C1=CC=CC=C1",120.15
7411,"Benzal chloride","C7H6Cl2","C1=CC=C(C=C1)C(Cl)Cl",161.03
7412,"Benzoyl chloride","C7H5ClO","C1=CC=C(C=C1)C(=O)Cl",140.56
7413,"Cyclohexanecarboxylic acid","C7H12O2","C1CCC(CC1)C(=O)O",128.17
7414,"Thiobenzoic Acid","C7H6OS","C1=CC=C(C=C1)C(=O)S",138.19
7415,"N,N-Dimethylcyclohexylamine","C8H17N","CN(C)C1CCCCC1",127.23
7416,"Nitrobenzene","C6H5NO2","C1=CC=C(C=C1)[N+](=O)[O-]",123.11
7417,"3'-Aminoacetophenone","C8H9NO","CC(=O)C1=CC(=CC=C1)N",135.16
7418,"3-Methylbenzoic acid","C8H8O2","CC1=CC(=CC=C1)C(=O)O",136.15
7419,"3-Aminobenzoic Acid","C7H7NO2","C1=CC(=CC(=C1)N)C(=O)O",137.14
7420,"3-Hydroxybenzoic Acid","C7H6O3","C1=CC(=CC(=C1)O)C(=O)O",138.12
7421,"3-(Dimethylamino)phenol","C8H11NO","CN(C)C1=CC(=CC=C1)O",137.18
7422,"3-Nitrotoluene","C7H7NO2","CC1=CC(=CC=C1)[N+](=O)[O-]",137.14
7423,"3-Nitroaniline","C6H6N2O2","C1=CC(=CC(=C1)[N+](=O)[O-])N",138.12
7424,"3,5-Dihydroxybenzoic Acid","C7H6O4","C1=C(C=C(C=C1O)O)C(=O)O",154.12
7425,"Citrazinic Acid","C6H5NO4","C1=C(C=C(NC1=O)O)C(=O)O",155.11
7426,"1,3-Dimethyl-5-nitrobenzene","C8H9NO2","CC1=CC(=CC(=C1)[N+](=O)[O-])C",151.16
7427,"Trehalose","C12H22O11","C(C1C(C(C(C(O1)OC2C(C(C(C(O2)CO)O)O)O)O)O)O)O",342.30
7428,"Methyl Gallate","C8H8O5","COC(=O)C1=CC(=C(C(=C1)O)O)O",184.15
7429,"Phenol, 2,6-dibromo-4-nitro-","C6H3Br2NO3","C1=C(C=C(C(=C1Br)O)Br)[N+](=O)[O-]",296.90
7430,"2,6-Dichloro-4-nitroaniline","C6H4Cl2N2O2","C1=C(C=C(C(=C1Cl)N)Cl)[N+](=O)[O-]",207.01
7431,"Chelidonic acid","C7H4O6","C1=C(OC(=CC1=O)C(=O)O)C(=O)O",184.10
7432,"3,5-Dinitrobenzoyl chloride","C7H3ClN2O5","C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C(=O)Cl",230.56
7433,"3,5-Dinitrobenzoic acid","C7H4N2O6","C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C(=O)O",212.12
7434,"1,3,5-Trinitrobenzene","C6H3N3O6","C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]",213.10
7435,"Benzoic acid, 3-methyl-, methyl ester","C9H10O2","CC1=CC(=CC=C1)C(=O)OC",150.17
7436,"Adrenalone","C9H11NO3","CNCC(=O)C1=CC(=C(C=C1)O)O",181.19
7437,"2-Chloro-1-(3-nitrophenyl)ethanone","C8H6ClNO3","C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)CCl",199.59
7438,"Carveol","C10H16O","CC1=CCC(CC1O)C(=C)C",152.23
7439,"Carvone, (+-)-","C10H14O","CC1=CCC(CC1=O)C(=C)C",150.22
7440,"4-Nitro-o-xylene","C8H9NO2","CC1=C(C=C(C=C1)[N+](=O)[O-])C",151.16
7441,"2-Methyl-4-nitroaniline","C7H8N2O2","CC1=C(C=CC(=C1)[N+](=O)[O-])N",152.15
7442,"2-Methyl-4-nitrophenol","C7H7NO3","CC1=C(C=CC(=C1)[N+](=O)[O-])O",153.14
7443,"1,2-Dichloro-4-nitrobenzene","C6H3Cl2NO2","C1=CC(=C(C=C1[N+](=O)[O-])Cl)Cl",192.00
7444,"2-Methyl-5-Nitroaniline","C7H8N2O2","CC1=C(C=C(C=C1)[N+](=O)[O-])N",152.15
7445,"","C6H7N3O2","C1=CC(=N)C(=N)C=C1N(O)O",153.14
7446,"","C6H6N2O3","C1=CC(=O)C(=N)C=C1N(O)O",154.12
7447,"2-Methoxy-5-nitroaniline","C7H8N2O3","COC1=C(C=C(C=C1)[N+](=O)[O-])N",168.15
7448,"2-Chloro-4-nitrobenzoic acid","C7H4ClNO4","C1=CC(=C(C=C1[N+](=O)[O-])Cl)C(=O)O",201.56
7449,"3-Nitrobenzaldehyde","C7H5NO3","C1=CC(=CC(=C1)[N+](=O)[O-])C=O",151.12
7450,"1,3-Diisopropylbenzene","C12H18","CC(C)C1=CC(=CC=C1)C(C)C",162.27
7451,"Isophthaloyl chloride","C8H4Cl2O2","C1=CC(=CC(=C1)C(=O)Cl)C(=O)Cl",203.02
7452,"1,3-Dinitrobenzene","C6H4N2O4","C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-]",168.11
7453,"4-sec-Butylphenol","C10H14O","CCC(C)C1=CC=C(C=C1)O",150.22
7454,"4-Bromophenacyl bromide","C8H6Br2O","C1=CC(=CC=C1C(=O)CBr)Br",277.94
7455,"Methyl 4-methylbenzoate","C9H10O2","CC1=CC=C(C=C1)C(=O)OC",150.17
7456,"Methylparaben","C8H8O3","COC(=O)C1=CC=C(C=C1)O",152.15
