"CID","Title","MolecularFormula","ConnectivitySMILES","MolecularWeight"
24501,"Calcium arsenate","As2Ca3O8","[O-][As](=O)([O-])[O-].[O-][As](=O)([O-])[O-].[Ca+2].[Ca+2].[Ca+2]",398.07
24502,"Potassium Dichromate","Cr2K2O7","[O-][Cr](=O)(=O)O[Cr](=O)(=O)[O-].[K+].[K+]",294.18
24503,"Dichromate ion","Cr2O7-2","[O-][Cr](=O)(=O)O[Cr](=O)(=O)[O-]",215.99
24504,"Calcium hypochlorite","CaCl2O2","[O-]Cl.[O-]Cl.[Ca+2]",142.98
24505,"CID 24505","ClKO4","[O-]Cl(=O)(=O)=O.[K+]",138.55
24506,"CID 24506","H2KO4P","OP(=O)(O)[O-].[K+]",136.086
24507,"Potassium Sulfate","K2O4S","[O-]S(=O)(=O)[O-].[K+].[K+]",174.26
24508,"Propyl 3-phenylprop-2-enoate","C12H14O2","CCCOC(=O)C=CC1=CC=CC=C1",190.24
24509,"Propylene glycol dimethyl ether","C5H12O2","CC(COC)OC",104.15
24510,"Cyclohexyl anthranilate","C13H17NO2","C1CCC(CC1)OC(=O)C2=CC=CC=C2N",219.28
24511,"1,2,3-propanetricarboxylic acid, 2-hydroxy-, magnesium salt","C6H5MgO7-","C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Mg+2]",213.40
24512,"1,3,5-Triethylhexahydro-1,3,5-triazine","C9H21N3","CCN1CN(CN(C1)CC)CC",171.28
24513,"Decanal dimethyl acetal","C12H26O2","CCCCCCCCCC(OC)OC",202.33
24514,"4-Hydroxy-undecanoic acid","C11H22O3","CCCCCCCC(CCC(=O)O)O",202.29
24515,"Isobutyl anthranilate","C11H15NO2","CC(C)COC(=O)C1=CC=CC=C1N",193.24
24516,"Isobutyl heptanoate","C11H22O2","CCCCCCC(=O)OCC(C)C",186.29
24517,"Zinc dithionite","O4S2Zn","[O-]S(=O)S(=O)[O-].[Zn+2]",193.5
24518,"Zinc Nitrate","N2O6Zn","[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Zn+2]",189.4
24519,"Zinc Phosphate","O8P2Zn3","[O-]P(=O)([O-])[O-].[O-]P(=O)([O-])[O-].[Zn+2].[Zn+2].[Zn+2]",386.1
24520,"5-Hydroxydodecanoic acid","C12H24O3","CCCCCCCC(CCCC(=O)O)O",216.32
24521,"Cinnamic Acid Isopropyl Ester","C12H14O2","CC(C)OC(=O)C=CC1=CC=CC=C1",190.24
24522,"Ethyl 3-hydroxybenzoate","C9H10O3","CCOC(=O)C1=CC(=CC=C1)O",166.17
24523,"Deuterium","H2","[HH]",4.0282035557
24524,"Fluorine","F2","FF",37.99680632
24525,"","C76H116","CC1C(C2C(C3C(C(C4C(C5C6C(C(C7C(C(C8C(C9C(C(C%10C(C(C%11C(C%12C(C%13C(C%14C(C(C1C)C2C1C3C4C2C5C3C4C6C7C8C5C9C%10C%11C(C54)C%12C3C%13C2C%141)C)C)C)C)C)C)C)C)C)C)C)C)C)C)C)C)C)C",1029.7
24526,"Chlorine","Cl2","ClCl",70.90
