"CID","Title","MolecularFormula","ConnectivitySMILES","MolecularWeight"
34901,"4,6-Bis(1,1-dichloroethyl)-1,3,5-triazin-2-amine","C7H8Cl4N4","CC(C1=NC(=NC(=N1)N)C(C)(Cl)Cl)(Cl)Cl",290.0
34902,"4,6-bis(1,1-dichloroethyl)-N-methyl-1,3,5-triazin-2-amine","C8H10Cl4N4","CC(C1=NC(=NC(=N1)NC)C(C)(Cl)Cl)(Cl)Cl",304.0
34903,"4,6-bis(1,1-dichloroethyl)-N-ethyl-1,3,5-triazin-2-amine","C9H12Cl4N4","CCNC1=NC(=NC(=N1)C(C)(Cl)Cl)C(C)(Cl)Cl",318.0
34904,"4,6-Bis(1,1,2-trichloroethyl)-1,3,5-triazin-2-amine","C7H6Cl6N4","C(C(C1=NC(=NC(=N1)N)C(CCl)(Cl)Cl)(Cl)Cl)Cl",358.9
34905,"4-(Propan-2-yl)-6-(trichloromethyl)-1,3,5-triazin-2-amine","C7H9Cl3N4","CC(C)C1=NC(=NC(=N1)N)C(Cl)(Cl)Cl",255.5
34906,"1,3,5-Triazin-2-amine, 4-butyl-6-(trichloromethyl)-","C8H11Cl3N4","CCCCC1=NC(=NC(=N1)N)C(Cl)(Cl)Cl",269.6
34907,"4-Butan-2-yl-6-(trichloromethyl)-1,3,5-triazin-2-amine","C8H11Cl3N4","CCC(C)C1=NC(=NC(=N1)N)C(Cl)(Cl)Cl",269.6
34908,"2-Amino-4-pentyl-6-trichloromethyl-sym-triazine","C9H13Cl3N4","CCCCCC1=NC(=NC(=N1)N)C(Cl)(Cl)Cl",283.6
34909,"N-(4-chlorophenyl)-4,6-bis(tribromomethyl)-1,3,5-triazin-2-amine","C11H5Br6ClN4","C1=CC(=CC=C1NC2=NC(=NC(=N2)C(Br)(Br)Br)C(Br)(Br)Br)Cl",708.1
34910,"4-(2-Methylpropyl)-6-(trichloromethyl)-1,3,5-triazin-2-amine","C8H11Cl3N4","CC(C)CC1=NC(=NC(=N1)N)C(Cl)(Cl)Cl",269.6
34911,"4-Propyl-6-(trichloromethyl)-1,3,5-triazin-2-amine","C7H9Cl3N4","CCCC1=NC(=NC(=N1)N)C(Cl)(Cl)Cl",255.5
34912,"Trimethylamine cyanoborane","C4H11BN2","BC#N.CN(C)C",97.96
34913,"Boranylformonitrile","CH2BN","BC#N",38.85
34914,"","C8H20B2N4","BC#N.BC#N.CN(C)CCN(C)C",193.90
34915,"6-(2-Chloropropan-2-yl)-1,3,5-triazine-2,4-diamine","C6H10ClN5","CC(C)(C1=NC(=NC(=N1)N)N)Cl",187.63
34916,"6-(2-Methylpropyl)-1,3,5-triazine-2,4-diamine","C7H13N5","CC(C)CC1=NC(=NC(=N1)N)N",167.21
34917,"1,3,5-Triazine-2,4-diamine, 6-(1-methylpropyl)-","C7H13N5","CCC(C)C1=NC(=NC(=N1)N)N",167.21
34918,"6-nonyl-2-N,4-N-di(propan-2-yl)-1,3,5-triazine-2,4-diamine","C18H35N5","CCCCCCCCCC1=NC(=NC(=N1)NC(C)C)NC(C)C",321.5
34919,"6-(1,1-Dichloroheptadecyl)-1,3,5-triazine-2,4-diamine","C20H37Cl2N5","CCCCCCCCCCCCCCCCC(C1=NC(=NC(=N1)N)N)(Cl)Cl",418.4
34920,"6-(3,4-Dichlorophenyl)-1,3,5-triazine-2,4-diamine","C9H7Cl2N5","C1=CC(=C(C=C1C2=NC(=NC(=N2)N)N)Cl)Cl",256.09
34921,"1,3,5-Triazine-2,4-diamine, 6-(4-methoxyphenyl)-","C10H11N5O","COC1=CC=C(C=C1)C2=NC(=NC(=N2)N)N",217.23
34922,"6-(1-Naphthyl)-s-triazine-2,4-diamine","C13H11N5","C1=CC=C2C(=C1)C=CC=C2C3=NC(=NC(=N3)N)N",237.26
34923,"6-(2-Ethoxyethyl)-1,3,5-triazine-2,4-diamine","C7H13N5O","CCOCCC1=NC(=NC(=N1)N)N",183.21
34924,"1-(4,6-Diamino-1,3,5-triazin-2-yl)propan-2-one","C6H9N5O","CC(=O)CC1=NC(=NC(=N1)N)N",167.17
34925,"1-(4,6-Diamino-1,3,5-triazin-2-yl)butan-2-one","C7H11N5O","CCC(=O)CC1=NC(=NC(=N1)N)N",181.20
34926,"6-fluoro-2-N,4-N-di(propan-2-yl)-1,3,5-triazine-2,4-diamine","C9H16FN5","CC(C)NC1=NC(=NC(=N1)F)NC(C)C",213.26
34927,"6-chloro-2-N-prop-2-enyl-1,3,5-triazine-2,4-diamine","C6H8ClN5","C=CCNC1=NC(=NC(=N1)N)Cl",185.61
34928,"6-chloro-2-N,4-N-dihexyl-1,3,5-triazine-2,4-diamine","C15H28ClN5","CCCCCCNC1=NC(=NC(=N1)Cl)NCCCCCC",313.87
34929,"Agn-PC-0jko2N","C27H52ClN5","CCCCCCCCCCCCNC1=NC(=NC(=N1)Cl)NCCCCCCCCCCCC",482.2
34930,"N,N'-Dibenzyl-6-chloro-[1,3,5]triazine-2,4-diamine","C17H16ClN5","C1=CC=C(C=C1)CNC2=NC(=NC(=N2)Cl)NCC3=CC=CC=C3",325.8
34931,"6-chloro-4-N-(4-chlorophenyl)-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine","C12H13Cl2N5","CC(C)NC1=NC(=NC(=N1)NC2=CC=C(C=C2)Cl)Cl",298.17
34932,"6-chloro-N,N'-bis(3,4-dichlorophenyl)-1,3,5-triazine-2,4-diamine","C15H8Cl5N5","C1=CC(=C(C=C1NC2=NC(=NC(=N2)Cl)NC3=CC(=C(C=C3)Cl)Cl)Cl)Cl",435.5
34933,"6-chloro-2-N-naphthalen-1-yl-4-N-naphthalen-2-yl-1,3,5-triazine-2,4-diamine","C23H16ClN5","C1=CC=C2C=C(C=CC2=C1)NC3=NC(=NC(=N3)Cl)NC4=CC=CC5=CC=CC=C54",397.9
34934,"3-[[4-[Bis(2-cyanoethyl)amino]-6-methyl-1,3,5-triazin-2-yl]-(2-cyanoethyl)amino]propanenitrile","C16H19N9","CC1=NC(=NC(=N1)N(CCC#N)CCC#N)N(CCC#N)CCC#N",337.38
34935,"N-(4-amino-6-methyl-1,3,5-triazin-2-yl)acetamide","C6H9N5O","CC1=NC(=NC(=N1)NC(=O)C)N",167.17
34936,"N,N'-(6-methyl-1,3,5-triazine-2,4-diyl)diacetamide","C8H11N5O2","CC1=NC(=NC(=N1)NC(=O)C)NC(=O)C",209.21
