"CID","Title","MolecularFormula","ConnectivitySMILES","MolecularWeight"
13001,"1-Eicosyne","C20H38","CCCCCCCCCCCCCCCCCCC#C",278.5
13002,"Glycidaldehyde","C3H4O2","C1C(O1)C=O",72.06
13003,"2-Methylpyrrolidine","C5H11N","CC1CCCN1",85.15
13004,"Cyclopropyl methyl ketone","C5H8O","CC(=O)C1CC1",84.12
13005,"2-Methyl-1,3-cyclopentanedione","C6H8O2","CC1C(=O)CCC1=O",112.13
13006,"1,2-Cyclohexanedione","C6H8O2","C1CCC(=O)C(=O)C1",112.13
13007,"N-Ethylpiperidine","C7H15N","CCN1CCCCC1",113.20
13008,"4,4-Dimethyl-1,3-dioxane","C6H12O2","CC1(CCOCO1)C",116.16
13009,"1,3-Dioxane, 2,4-dimethyl-","C6H12O2","CC1CCOC(O1)C",116.16
13010,"Dimethylmaleic anhydride","C6H6O3","CC1=C(C(=O)OC1=O)C",126.11
13011,"2-Chloroanisole","C7H7ClO","COC1=CC=CC=C1Cl",142.58
13012,"Cycloheptanone, 2-chloro-","C7H11ClO","C1CCC(C(=O)CC1)Cl",146.61
13013,"Aziridinecarboxylic acid, propyl ester","C6H11NO2","CCCOC(=O)N1CC1",129.16
13014,"Dimethylphenylsilane","C8H12Si","C[SiH](C)C1=CC=CC=C1",136.27
13015,"Benzonitrile, m-chloro-","C7H4ClN","C1=CC(=CC(=C1)Cl)C#N",137.56
13016,"Benzyl methyl sulfide","C8H10S","CSCC1=CC=CC=C1",138.23
13017,"Cyclohexylformamide","C7H13NO","C1CCC(CC1)NC=O",127.18
13018,"p-Ethynyltoluene","C9H8","CC1=CC=C(C=C1)C#C",116.16
13019,"4-Cyanophenol","C7H5NO","C1=CC(=CC=C1C#N)O",119.12
13020,"2-Furanpropanol, tetrahydro-","C7H14O2","C1CC(OC1)CCCO",130.18
13021,"2-Amino-4,6-dimethyl pyrimidine","C6H9N3","CC1=CC(=NC(=N1)N)C",123.16
13022,"","C3H5N5S","C1(=NC(=NC(=N1)S)N)N",143.17
13023,"1-Methylindan","C10H12","CC1CCC2=CC=CC=C12",132.20
13024,"1-Methylindene","C10H10","CC1C=CC2=CC=CC=C12",130.19
13025,"3-Methylindene","C10H10","CC1=CCC2=CC=CC=C12",130.19
13026,"2,3,5-Trihydroxytoluene","C7H8O3","CC1=CC(=CC(=C1O)O)O",140.14
13027,"Mallorepine","C7H6N2O","CN1C=CC(=O)C(=C1)C#N",134.14
13028,"1-Phenyl-2-propen-1-one","C9H8O","C=CC(=O)C1=CC=CC=C1",132.16
13029,"Chlorodimethylphenylsilane","C8H11ClSi","C[Si](C)(C1=CC=CC=C1)Cl",170.71
13030,"Isobutenylbenzene","C10H12","CC(=CC1=CC=CC=C1)C",132.20
13031,"1-Cyclohexenylacetone","C9H14O","CC(=O)CC1=CCCCC1",138.21
13032,"N-Isopropylaniline","C9H13N","CC(C)NC1=CC=CC=C1",135.21
13033,"3-Butenylbenzene","C10H12","C=CCCC1=CC=CC=C1",132.20
