"CID","Title","MolecularFormula","ConnectivitySMILES","MolecularWeight"
38801,"","C26H29NO6","COC1=C(C(=C(C2=C1C=CO2)OC)OCCN3CCCCC3)C(=O)C=CC4=CC=C(C=C4)O",451.5
38802,"","C28H33NO10","CC[NH+](CC)CCOC1=C(C2=C(C=CO2)C(=C1C(=O)C=CC3=CC=C(C=C3)OC)OC)OC.C(=O)(C(=O)[O-])O",543.6
38803,"","C26H31NO6","CCN(CC)CCOC1=C(C2=C(C=CO2)C(=C1C(=O)C=CC3=CC=C(C=C3)OC)OC)OC",453.5
38804,"","C30H37NO10","CC(C)[NH+](CCOC1=C(C2=C(C=CO2)C(=C1C(=O)C=CC3=CC=C(C=C3)OC)OC)OC)C(C)C.C(=O)(C(=O)[O-])O",571.6
38805,"1-[6-[2-[Di(propan-2-yl)amino]ethoxy]-4,7-dimethoxy-1-benzofuran-5-yl]-3-(4-methoxyphenyl)prop-2-en-1-one","C28H35NO6","CC(C)N(CCOC1=C(C2=C(C=CO2)C(=C1C(=O)C=CC3=CC=C(C=C3)OC)OC)OC)C(C)C",481.6
38806,"","C28H31NO11","COC1=CC=C(C=C1)C=CC(=O)C2=C(C3=C(C(=C2OCC[NH+]4CCOCC4)OC)OC=C3)OC.C(=O)(C(=O)[O-])O",557.5
38807,"","C26H29NO7","COC1=CC=C(C=C1)C=CC(=O)C2=C(C3=C(C(=C2OCCN4CCOCC4)OC)OC=C3)OC",467.5
38808,"","C27H31NO10","C[NH+](C)CCCOC1=C(C2=C(C=CO2)C(=C1C(=O)C=CC3=CC=C(C=C3)OC)OC)OC.C(=O)(C(=O)[O-])O",529.5
38809,"","C25H29NO6","CN(C)CCCOC1=C(C2=C(C=CO2)C(=C1C(=O)C=CC3=CC=C(C=C3)OC)OC)OC",439.5
38810,"","C27H31NO10","CCOC1=CC=C(C=C1)C=CC(=O)C2=C(C3=C(C(=C2OCC[NH+](C)C)OC)OC=C3)OC.C(=O)(C(=O)[O-])O",529.5
38811,"","C25H29NO6","CCOC1=CC=C(C=C1)C=CC(=O)C2=C(C3=C(C(=C2OCCN(C)C)OC)OC=C3)OC",439.5
38812,"","C28H33NO10","CCCOC1=CC=C(C=C1)C=CC(=O)C2=C(C3=C(C(=C2OCC[NH+](C)C)OC)OC=C3)OC.C(=O)(C(=O)[O-])O",543.6
38813,"","C26H31NO6","CCCOC1=CC=C(C=C1)C=CC(=O)C2=C(C3=C(C(=C2OCCN(C)C)OC)OC=C3)OC",453.5
38814,"","C29H35NO10","CCCCOC1=CC=C(C=C1)C=CC(=O)C2=C(C3=C(C(=C2OCC[NH+](C)C)OC)OC=C3)OC.C(=O)(C(=O)[O-])O",557.6
38815,"","C27H33NO6","CCCCOC1=CC=C(C=C1)C=CC(=O)C2=C(C3=C(C(=C2OCCN(C)C)OC)OC=C3)OC",467.6
38816,"","C23H26ClNO6","C[NH+](C)CCOC1=C(C2=C(C=CO2)C(=C1C(=O)C=CC3=CC=CC=C3O)OC)OC.[Cl-]",447.9
38817,"","C23H25NO6","CN(C)CCOC1=C(C2=C(C=CO2)C(=C1C(=O)C=CC3=CC=CC=C3O)OC)OC",411.4
38818,"","C23H26ClNO6","C[NH+](C)CCOC1=C(C2=C(C=CO2)C(=C1C(=O)C=CC3=CC(=CC=C3)O)OC)OC.[Cl-]",447.9
38819,"","C23H25NO6","CN(C)CCOC1=C(C2=C(C=CO2)C(=C1C(=O)C=CC3=CC(=CC=C3)O)OC)OC",411.4
38820,"","C26H30ClNO6","COC1=C(C(=C(C2=C1C=CO2)OC)OCC[NH+]3CCCCC3)C(=O)C=CC4=CC=CC=C4O.[Cl-]",488.0
38821,"","C26H29NO6","COC1=C(C(=C(C2=C1C=CO2)OC)OCCN3CCCCC3)C(=O)C=CC4=CC=CC=C4O",451.5
38822,"Acetanilide, 2-(diethylamino)-2'-propoxy-, hydrochloride","C15H25ClN2O2","CCCOC1=CC=CC=C1NC(=O)C[NH+](CC)CC.[Cl-]",300.82
38823,"2-(diethylamino)-N-(2-propoxyphenyl)acetamide","C15H24N2O2","CCCOC1=CC=CC=C1NC(=O)CN(CC)CC",264.36
