"CID","Title","MolecularFormula","ConnectivitySMILES","MolecularWeight"
35001,"4-chloro-N'-(4,6-dichloro-1,3,5-triazin-2-yl)benzenesulfonohydrazide","C9H6Cl3N5O2S","C1=CC(=CC=C1S(=O)(=O)NNC2=NC(=NC(=N2)Cl)Cl)Cl",354.6
35002,"N'-(4,6-dichloro-1,3,5-triazin-2-yl)-4-methylbenzenesulfonohydrazide","C10H9Cl2N5O2S","CC1=CC=C(C=C1)S(=O)(=O)NNC2=NC(=NC(=N2)Cl)Cl",334.18
35003,"4,6-dibromo-N-ethyl-1,3,5-triazin-2-amine","C5H6Br2N4","CCNC1=NC(=NC(=N1)Br)Br",281.94
35004,"4,6-dibromo-N-phenyl-1,3,5-triazin-2-amine","C9H6Br2N4","C1=CC=C(C=C1)NC2=NC(=NC(=N2)Br)Br",329.98
35005,"4,6-dibromo-N-(4-chlorophenyl)-1,3,5-triazin-2-amine","C9H5Br2ClN4","C1=CC(=CC=C1NC2=NC(=NC(=N2)Br)Br)Cl",364.42
35006,"4-chloro-N-hexyl-6-methoxy-1,3,5-triazin-2-amine","C10H17ClN4O","CCCCCCNC1=NC(=NC(=N1)Cl)OC",244.72
35007,"4-Chloro-6-methoxy-N-phenyl-1,3,5-triazin-2-amine","C10H9ClN4O","COC1=NC(=NC(=N1)NC2=CC=CC=C2)Cl",236.66
35008,"4-chloro-N-ethyl-6-(2-methylpropoxy)-1,3,5-triazin-2-amine","C9H15ClN4O","CCNC1=NC(=NC(=N1)Cl)OCC(C)C",230.69
35009,"4-Fluoro-6-phenoxy-1,3,5-triazin-2-amine","C9H7FN4O","C1=CC=C(C=C1)OC2=NC(=NC(=N2)N)F",206.18
35010,"Phenol, [(4-amino-6-chloro-1,3,5-triazin-2-yl)oxy]-","C9H7ClN4O","C1=CC=C(C=C1)OC2=NC(=NC(=N2)N)Cl",222.63
35011,"4-chloro-N-ethyl-6-phenoxy-1,3,5-triazin-2-amine","C11H11ClN4O","CCNC1=NC(=NC(=N1)Cl)OC2=CC=CC=C2",250.68
35012,"4-Bromo-6-phenoxy-1,3,5-triazin-2-amine","C9H7BrN4O","C1=CC=C(C=C1)OC2=NC(=NC(=N2)N)Br",267.08
35013,"4-Chloro-6-(methylthio)-1,3,5-triazin-2-amine","C4H5ClN4S","CSC1=NC(=NC(=N1)N)Cl",176.63
35014,"4-chloro-N-ethyl-6-methylsulfanyl-1,3,5-triazin-2-amine","C6H9ClN4S","CCNC1=NC(=NC(=N1)Cl)SC",204.68
35015,"4-chloro-6-methylsulfanyl-N-phenyl-1,3,5-triazin-2-amine","C10H9ClN4S","CSC1=NC(=NC(=N1)NC2=CC=CC=C2)Cl",252.72
