"CID","Title","MolecularFormula","ConnectivitySMILES","MolecularWeight"
35101,"1,3,5-Triazin-2-amine, N-(1-methylethyl)-","C6H10N4","CC(C)NC1=NC=NC=N1",138.17
35102,"6-bromo-4-N-ethyl-2-N-propyl-1,3,5-triazine-2,4-diamine","C8H14BrN5","CCCNC1=NC(=NC(=N1)NCC)Br",260.13
35103,"6-bromo-4-N-ethyl-2-N-prop-2-enyl-1,3,5-triazine-2,4-diamine","C8H12BrN5","CCNC1=NC(=NC(=N1)Br)NCC=C",258.12
35104,"6-bromo-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine","C8H14BrN5","CCNC1=NC(=NC(=N1)Br)NC(C)C",260.13
35105,"6-bromo-2-N,4-N-di(propan-2-yl)-1,3,5-triazine-2,4-diamine","C9H16BrN5","CC(C)NC1=NC(=NC(=N1)Br)NC(C)C",274.16
35106,"6-bromo-2-N,2-N,4-N-triethyl-1,3,5-triazine-2,4-diamine","C9H16BrN5","CCNC1=NC(=NC(=N1)Br)N(CC)CC",274.16
35107,"2-Amino-4-ethylamino-6-methoxy-s-triazine","C6H11N5O","CCNC1=NC(=NC(=N1)N)OC",169.19
35108,"N,N'-Dimethyl-6-methoxy-s-triazine-2,4-diamine","C6H11N5O","CNC1=NC(=NC(=N1)OC)NC",169.19
35109,"6-methoxy-2-N,4-N-diphenyl-1,3,5-triazine-2,4-diamine","C16H15N5O","COC1=NC(=NC(=N1)NC2=CC=CC=C2)NC3=CC=CC=C3",293.32
35110,"6-ethoxy-2-N,4-N-diethyl-1,3,5-triazine-2,4-diamine","C9H17N5O","CCNC1=NC(=NC(=N1)OCC)NCC",211.26
35111,"6-ethoxy-2-N,2-N,4-N,4-N-tetraethyl-1,3,5-triazine-2,4-diamine","C13H25N5O","CCN(CC)C1=NC(=NC(=N1)OCC)N(CC)CC",267.37
35112,"2-N,4-N-diethyl-6-propoxy-1,3,5-triazine-2,4-diamine","C10H19N5O","CCCOC1=NC(=NC(=N1)NCC)NCC",225.29
35113,"2-N,4-N-di(propan-2-yl)-6-propan-2-yloxy-1,3,5-triazine-2,4-diamine","C12H23N5O","CC(C)NC1=NC(=NC(=N1)OC(C)C)NC(C)C",253.34
35114,"2-N,2-N,4-N,4-N-tetraethyl-6-propan-2-yloxy-1,3,5-triazine-2,4-diamine","C14H27N5O","CCN(CC)C1=NC(=NC(=N1)OC(C)C)N(CC)CC",281.40
35115,"2-Butoxy-4,6-bis(ethylamino)-S-triazine","C11H21N5O","CCCCOC1=NC(=NC(=N1)NCC)NCC",239.32
35116,"N,N'-diethyl-6-(prop-2-en-1-yloxy)-1,3,5-triazine-2,4-diamine","C10H17N5O","CCNC1=NC(=NC(=N1)OCC=C)NCC",223.28
35117,"s-Triazine, 4,6-diamino-2-pentoxy-","C8H15N5O","CCCCCOC1=NC(=NC(=N1)N)N",197.24
35118,"6-(2-ethoxyethoxy)-2-N,4-N-diethyl-1,3,5-triazine-2,4-diamine","C11H21N5O2","CCNC1=NC(=NC(=N1)OCCOCC)NCC",255.32
35119,"2,4-Diamino-6-benzyloxy-s-triazine","C10H11N5O","C1=CC=C(C=C1)COC2=NC(=NC(=N2)N)N",217.23
35120,"6-phenoxy-N,N'-diphenyl-1,3,5-triazine-2,4-diamine","C21H17N5O","C1=CC=C(C=C1)NC2=NC(=NC(=N2)OC3=CC=CC=C3)NC4=CC=CC=C4",355.4
35121,"6-(2-Chlorophenoxy)-1,3,5-triazine-2,4-diamine","C9H8ClN5O","C1=CC=C(C(=C1)OC2=NC(=NC(=N2)N)N)Cl",237.64
35122,"6-(4-Chlorophenoxy)-1,3,5-triazine-2,4-diamine","C9H8ClN5O","C1=CC(=CC=C1OC2=NC(=NC(=N2)N)N)Cl",237.64
35123,"6-(4-Nitrophenoxy)-1,3,5-triazine-2,4-diamine","C9H8N6O3","C1=CC(=CC=C1[N+](=O)[O-])OC2=NC(=NC(=N2)N)N",248.20
35124,"N,N,N',N'-Tetraethyl-6-(methylthio)-s-triazine-2,4-diamine","C12H23N5S","CCN(CC)C1=NC(=NC(=N1)SC)N(CC)CC",269.41
35125,"6-Ethylsulfanyl-1,3,5-triazine-2,4-diamine","C5H9N5S","CCSC1=NC(=NC(=N1)N)N",171.23
35126,"2-N,4-N-diethyl-6-ethylsulfanyl-1,3,5-triazine-2,4-diamine","C9H17N5S","CCNC1=NC(=NC(=N1)SCC)NCC",227.33
35127,"6-Butylsulfanyl-1,3,5-triazine-2,4-diamine","C7H13N5S","CCCCSC1=NC(=NC(=N1)N)N",199.28
35128,"2-(Allylthio)-4,6-diamino-S-triazine","C6H9N5S","C=CCSC1=NC(=NC(=N1)N)N",183.24
35129,"6-Benzylsulfanyl-1,3,5-triazine-2,4-diamine","C10H11N5S","C1=CC=C(C=C1)CSC2=NC(=NC(=N2)N)N",233.30
35130,"6-Phenylsulfanyl-1,3,5-triazine-2,4-diamine","C9H9N5S","C1=CC=C(C=C1)SC2=NC(=NC(=N2)N)N",219.27
35131,"2-N,4-N-diphenyl-6-phenylsulfanyl-1,3,5-triazine-2,4-diamine","C21H17N5S","C1=CC=C(C=C1)NC2=NC(=NC(=N2)SC3=CC=CC=C3)NC4=CC=CC=C4",371.5
35132,"2-[[4,6-Bis(ethylamino)-1,3,5-triazin-2-yl]sulfanyl]acetonitrile","C9H14N6S","CCNC1=NC(=NC(=N1)SCC#N)NCC",238.32
35133,"2-[[4-(Ethylamino)-6-(propan-2-ylamino)-1,3,5-triazin-2-yl]sulfanyl]acetonitrile","C10H16N6S","CCNC1=NC(=NC(=N1)SCC#N)NC(C)C",252.34
35134,"","C15H13N5O","C1=CC=C(C=C1)NC2=NC(=O)N=C(N2)NC3=CC=CC=C3",279.30
