"CID","Title","MolecularFormula","ConnectivitySMILES","MolecularWeight"
35601,"","C5H5Cl2N3O","C(C1=NC(=O)N=C(N1)CCl)Cl",194.02
35602,"2-Chloroacetamidine","C2H5ClN2","C(C(=N)N)Cl",92.53
35603,"","C7H7Cl6N5O","C1(=NC(=O)N=C(N1)C(Cl)Cl)C(Cl)Cl.C(C(=N)N)(Cl)Cl",389.9
35604,"","C5H3Cl4N3O","C1(=NC(=O)N=C(N1)C(Cl)Cl)C(Cl)Cl",262.9
35605,"2,2-Dichloroethanimidamide","C2H4Cl2N2","C(C(=N)N)(Cl)Cl",126.97
35606,"","C7H4Cl9N5O","C1(=NC(=O)N=C(N1)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl.C(=N)(C(Cl)(Cl)Cl)N",493.2
35607,"","C5HCl6N3O","C1(=NC(=O)N=C(N1)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl",331.8
35608,"2,2,2-Trichloroethanimidamide","C2H3Cl3N2","C(=N)(C(Cl)(Cl)Cl)N",161.41
35609,"","C11H16Cl6N4O","CCN(CC)CC.C1(=NC(=O)N=C(N1)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl",433.0
35610,"","C10H13Cl6N5O","CC(C1=NC(=O)N=C(N1)C(C)(Cl)Cl)(Cl)Cl.CC(C(=N)N)(Cl)Cl",432.0
35611,"","C7H7Cl4N3O","CC(C1=NC(=O)N=C(N1)C(C)(Cl)Cl)(Cl)Cl",291.0
35612,"2,2-Dichloropropanimidamide","C3H6Cl2N2","CC(C(=N)N)(Cl)Cl",141.00
35613,"","C10H10Cl9N5O","C(C(C1=NC(=O)N=C(N1)C(CCl)(Cl)Cl)(Cl)Cl)Cl.C(C(C(=N)N)(Cl)Cl)Cl",535.3
35614,"","C7H5Cl6N3O","C(C(C1=NC(=O)N=C(N1)C(CCl)(Cl)Cl)(Cl)Cl)Cl",359.8
35615,"2,2,3-Trichloropropanimidamide","C3H5Cl3N2","C(C(C(=N)N)(Cl)Cl)Cl",175.44
35616,"","C15H9Cl2N3O","C1=CC(=CC=C1C2=NC(=O)N=C(N2)C3=CC=C(C=C3)Cl)Cl",318.2
35617,"","C17H15N3O","CC1=CC=C(C=C1)C2=NC(=O)N=C(N2)C3=CC=C(C=C3)C",277.32
