"CID","Title","MolecularFormula","ConnectivitySMILES","MolecularWeight"
44729,"(1R,4R)-4-(dimethylamino)-1-phenyl-3,4-dihydro-2H-naphthalene-1-carboxamide","C19H22N2O","CN(C)C1CCC(C2=CC=CC=C12)(C3=CC=CC=C3)C(=O)N",294.4
44730,"","C23H26N2O5","C[NH+](C)C1CCC(C2=CC=CC=C12)(C3=CC=CC=C3)C(=O)N.C(=CC(=O)[O-])C(=O)O",410.5
44731,"(1R)-4-(dimethylamino)-1-phenyl-3,4-dihydro-2H-naphthalene-1-carboxamide","C19H22N2O","CN(C)C1CCC(C2=CC=CC=C12)(C3=CC=CC=C3)C(=O)N",294.4
44732,"1-Naphthamidine, N-benzyl-N-ethyl-4-methoxy-, hydrochloride","C21H23ClN2O","CC[NH+](CC1=CC=CC=C1)C(=N)C2=CC=C(C3=CC=CC=C32)OC.[Cl-]",354.9
44733,"N-benzyl-N-ethyl-4-methoxynaphthalene-1-carboximidamide","C21H22N2O","CCN(CC1=CC=CC=C1)C(=N)C2=CC=C(C3=CC=CC=C32)OC",318.4
44734,"1-Naphthamidine, N,N-bis(sec-butyl)-4-ethoxy-, hydrochloride","C21H31ClN2O","CCC(C)[NH+](C(C)CC)C(=N)C1=CC=C(C2=CC=CC=C21)OCC.[Cl-]",362.9
44735,"N,N-di(butan-2-yl)-4-ethoxynaphthalene-1-carboximidamide","C21H30N2O","CCC(C)N(C(C)CC)C(=N)C1=CC=C(C2=CC=CC=C21)OCC",326.5
44736,"N,N-Di(butan-2-yl)-4-methoxynaphthalene-1-carboximidamide--hydrogen chloride (1/1)","C20H29ClN2O","CCC(C)[NH+](C(C)CC)C(=N)C1=CC=C(C2=CC=CC=C21)OC.[Cl-]",348.9
44737,"N,N-di(butan-2-yl)-4-methoxynaphthalene-1-carboximidamide","C20H28N2O","CCC(C)N(C(C)CC)C(=N)C1=CC=C(C2=CC=CC=C21)OC",312.4
44738,"(4-Butoxynaphthalene-1-carboximidoyl)-dimethylazanium chloride","C17H23ClN2O","CCCCOC1=CC=C(C2=CC=CC=C21)C(=N)[NH+](C)C.[Cl-]",306.8
44739,"4-butoxy-N,N-dimethylnaphthalene-1-carboximidamide","C17H22N2O","CCCCOC1=CC=C(C2=CC=CC=C21)C(=N)N(C)C",270.37
44740,"1-Naphthamidine, N-butyl-4-methoxy-N-(p-methoxyphenyl)-, hydrochloride","C23H27ClN2O2","CCCC[NH+](C1=CC=C(C=C1)OC)C(=N)C2=CC=C(C3=CC=CC=C32)OC.[Cl-]",398.9
44741,"N-butyl-4-methoxy-N-(4-methoxyphenyl)naphthalene-1-carboximidamide","C23H26N2O2","CCCCN(C1=CC=C(C=C1)OC)C(=N)C2=CC=C(C3=CC=CC=C32)OC",362.5
44742,"N,N-Dibutyl-4-ethoxynaphthalene-1-carboximidamide--hydrogen chloride (1/1)","C21H31ClN2O","CCCC[NH+](CCCC)C(=N)C1=CC=C(C2=CC=CC=C21)OCC.[Cl-]",362.9
44743,"N,N-dibutyl-4-ethoxynaphthalene-1-carboximidamide","C21H30N2O","CCCCN(CCCC)C(=N)C1=CC=C(C2=CC=CC=C21)OCC",326.5
44744,"N,N-Dibutyl-4-methoxynaphthalene-1-carboximidamide--hydrogen chloride (1/1)","C20H29ClN2O","CCCC[NH+](CCCC)C(=N)C1=CC=C(C2=CC=CC=C21)OC.[Cl-]",348.9
44745,"N,N-dibutyl-4-methoxynaphthalene-1-carboximidamide","C20H28N2O","CCCCN(CCCC)C(=N)C1=CC=C(C2=CC=CC=C21)OC",312.4
44746,"N,N-Diethyl-4-methoxynaphthalene-1-carboximidamide--hydrogen chloride (1/1)","C16H21ClN2O","CC[NH+](CC)C(=N)C1=CC=C(C2=CC=CC=C21)OC.[Cl-]",292.80
44747,"N,N-diethyl-4-methoxynaphthalene-1-carboximidamide","C16H20N2O","CCN(CC)C(=N)C1=CC=C(C2=CC=CC=C21)OC",256.34
44748,"1-Naphthamidine, N,N-dihexyl-4-methoxy-, hydrochloride","C24H37ClN2O","CCCCCC[NH+](CCCCCC)C(=N)C1=CC=C(C2=CC=CC=C21)OC.[Cl-]",405.0
44749,"N,N-dihexyl-4-methoxynaphthalene-1-carboximidamide","C24H36N2O","CCCCCCN(CCCCCC)C(=N)C1=CC=C(C2=CC=CC=C21)OC",368.6
44750,"4-Ethoxy-N,N-bis(2-methylpropyl)naphthalene-1-carboximidamide--hydrogen chloride (1/1)","C21H31ClN2O","CCOC1=CC=C(C2=CC=CC=C21)C(=N)[NH+](CC(C)C)CC(C)C.[Cl-]",362.9
44751,"4-ethoxy-N,N-bis(2-methylpropyl)naphthalene-1-carboximidamide","C21H30N2O","CCOC1=CC=C(C2=CC=CC=C21)C(=N)N(CC(C)C)CC(C)C",326.5
44752,"4-Methoxy-N,N-bis(2-methylpropyl)naphthalene-1-carboximidamide--hydrogen chloride (1/1)","C20H29ClN2O","CC(C)C[NH+](CC(C)C)C(=N)C1=CC=C(C2=CC=CC=C21)OC.[Cl-]",348.9
44753,"4-methoxy-N,N-bis(2-methylpropyl)naphthalene-1-carboximidamide","C20H28N2O","CC(C)CN(CC(C)C)C(=N)C1=CC=C(C2=CC=CC=C21)OC",312.4
