"CID","Title","MolecularFormula","ConnectivitySMILES","MolecularWeight"
45801,"(3-Methoxy-4,5-dimethylphenyl)-trimethylazanium","C12H20NO+","CC1=CC(=CC(=C1C)OC)[N+](C)(C)C",194.29
45802,"Ammonium, N,N-dimethyl-N,N',N',N'-tetraethyl-N,N'-oxybis(trimethylene)di-, dibromide","C16H38Br2N2O","CC[N+](C)(C)CCCOCCC[N+](CC)(CC)CC.[Br-].[Br-]",434.3
45803,"Triethyl-[3-[3-[ethyl(dimethyl)azaniumyl]propoxy]propyl]azanium","C16H38N2O+2","CC[N+](C)(C)CCCOCCC[N+](CC)(CC)CC",274.49
45804,"Ammonium, N,N-dimethyl-N,N',N',N'-tetraethyl-N,N'-oxydiethylenedi-, dibromide","C14H34Br2N2O","CC[N+](C)(C)CCOCC[N+](CC)(CC)CC.[Br-].[Br-]",406.24
45805,"Ammonium, ((p-diethylmethylammonio)phenethyl)diethylmethyl-, diiodide","C18H34I2N2","CC[N+](C)(CC)CCC1=CC=C(C=C1)[N+](C)(CC)CC.[I-].[I-]",532.3
45806,"[4-[2-[Diethyl(methyl)azaniumyl]ethyl]phenyl]-diethyl-methylazanium","C18H34N2+2","CC[N+](C)(CC)CCC1=CC=C(C=C1)[N+](C)(CC)CC",278.5
45807,"M&B 2297","C20H38I2N2","CC[N+](C)(CC)CCCCC1=CC=C(C=C1)[N+](C)(CC)CC.[I-].[I-]",560.3
45808,"[4-[4-[Diethyl(methyl)azaniumyl]butyl]phenyl]-diethyl-methylazanium","C20H38N2+2","CC[N+](C)(CC)CCCCC1=CC=C(C=C1)[N+](C)(CC)CC",306.5
45809,"M&B 2278","C19H36I2N2","CC[N+](C)(CC)CCCC1=CC=C(C=C1)[N+](C)(CC)CC.[I-].[I-]",546.3
45810,"3-[4-[Diethyl(methyl)azaniumyl]phenyl]propyl-diethyl-methylazanium","C19H36N2+2","CC[N+](C)(CC)CCCC1=CC=C(C=C1)[N+](C)(CC)CC",292.5
45811,"Ammonium, diethylmethyl(4-methyl-2-oxo-2H,1-benzopyran-7-yl)-, iodide","C15H20INO2","CC[N+](C)(CC)C1=CC2=C(C=C1)C(=CC(=O)O2)C.[I-]",373.23
45812,"Diethyl-methyl-(4-methyl-2-oxochromen-7-yl)azanium","C15H20NO2+","CC[N+](C)(CC)C1=CC2=C(C=C1)C(=CC(=O)O2)C",246.32
45813,"Ammonium, diethylmethylphenyl-, bromide","C11H18BrN","CC[N+](C)(CC)C1=CC=CC=C1.[Br-]",244.17
45814,"Diethylmethylphenylammonium","C11H18N+","CC[N+](C)(CC)C1=CC=CC=C1",164.27
