"CID","Title","MolecularFormula","ConnectivitySMILES","MolecularWeight"
32601,"alpha-Butylbenzeneacetic acid","C12H16O2","CCCCC(C1=CC=CC=C1)C(=O)O",192.25
32602,"Cobaltous arsenate","As2Co3O8","[O-][As](=O)([O-])[O-].[O-][As](=O)([O-])[O-].[Co+2].[Co+2].[Co+2]",454.64
32603,"Methyl 7-chloro-6,7,8-trideoxy-6-((1-methyl-4-propylprolyl)amino)-2-O-phosphono-1-thiooctopyranoside","C18H34ClN2O8PS","CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)OP(=O)(O)O)O)O)C(C)Cl",505.0
32604,"Ammonium, dodecamethylenebis((p-chlorobenzyl)dimethyl-, dibromide","C30H48Br2Cl2N2","C[N+](C)(CCCCCCCCCCCC[N+](C)(C)CC1=CC=C(C=C1)Cl)CC2=CC=C(C=C2)Cl.[Br-].[Br-]",667.4
32605,"(4-Chlorophenyl)methyl-[12-[(4-chlorophenyl)methyl-dimethylazaniumyl]dodecyl]-dimethylazanium","C30H48Cl2N2+2","C[N+](C)(CCCCCCCCCCCC[N+](C)(C)CC1=CC=C(C=C1)Cl)CC2=CC=C(C=C2)Cl",507.6
32606,"Sec-butyl bis(chloromethyl) phosphinate","C6H13Cl2O2P","CCC(C)OP(=O)(CCl)CCl",219.04
32607,"Acetamide, 2-(3,4,5-trimethoxyphenoxy)-","C11H15NO5","COC1=CC(=CC(=C1OC)OC)OCC(=O)N",241.24
32608,"Acetic acid, (3,4,5-trimethoxyphenoxy)-, hydrazide","C11H16N2O5","COC1=CC(=CC(=C1OC)OC)OCC(=O)NN",256.25
32609,"3,4,5-Trimethoxyphenoxyacetic acid diethylaminoethylamide","C17H29ClN2O5","CC[NH+](CC)CCNC(=O)COC1=CC(=C(C(=C1)OC)OC)OC.[Cl-]",376.9
32610,"N-[2-(diethylamino)ethyl]-2-(3,4,5-trimethoxyphenoxy)acetamide","C17H28N2O5","CCN(CC)CCNC(=O)COC1=CC(=C(C(=C1)OC)OC)OC",340.4
32611,"2-(2-(2-Hydroxypropoxy)propoxy)-1-propanol","C9H20O4","CC(CO)OCC(C)OCC(C)O",192.25
32612,"N-butyl-4,6-bis(trichloromethyl)-1,3,5-triazin-2-amine","C9H10Cl6N4","CCCCNC1=NC(=NC(=N1)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl",386.9
32613,"N-butan-2-yl-4,6-bis(trichloromethyl)-1,3,5-triazin-2-amine","C9H10Cl6N4","CCC(C)NC1=NC(=NC(=N1)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl",386.9
32614,"N-(2-methylpropyl)-4,6-bis(trichloromethyl)-1,3,5-triazin-2-amine","C9H10Cl6N4","CC(C)CNC1=NC(=NC(=N1)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl",386.9
32615,"N-tert-butyl-4,6-bis(trichloromethyl)-1,3,5-triazin-2-amine","C9H10Cl6N4","CC(C)(C)NC1=NC(=NC(=N1)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl",386.9
32616,"N-pentyl-4,6-bis(trichloromethyl)-1,3,5-triazin-2-amine","C10H12Cl6N4","CCCCCNC1=NC(=NC(=N1)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl",400.9
32617,"N-hexyl-4,6-bis(trichloromethyl)-1,3,5-triazin-2-amine","C11H14Cl6N4","CCCCCCNC1=NC(=NC(=N1)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl",415.0
32618,"N-octan-3-yl-4,6-bis(trichloromethyl)-1,3,5-triazin-2-amine","C13H18Cl6N4","CCCCCC(CC)NC1=NC(=NC(=N1)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl",443.0
32619,"4-butan-2-yl-N-ethyl-6-(trichloromethyl)-1,3,5-triazin-2-amine","C10H15Cl3N4","CCC(C)C1=NC(=NC(=N1)NCC)C(Cl)(Cl)Cl",297.6
32620,"N-ethyl-4-(2-methylpropyl)-6-(trichloromethyl)-1,3,5-triazin-2-amine","C10H15Cl3N4","CCNC1=NC(=NC(=N1)C(Cl)(Cl)Cl)CC(C)C",297.6
32621,"4-pentyl-N-propyl-6-(trichloromethyl)-1,3,5-triazin-2-amine","C12H19Cl3N4","CCCCCC1=NC(=NC(=N1)NCCC)C(Cl)(Cl)Cl",325.7
32622,"N-ethyl-4-nonyl-6-(trichloromethyl)-1,3,5-triazin-2-amine","C15H25Cl3N4","CCCCCCCCCC1=NC(=NC(=N1)NCC)C(Cl)(Cl)Cl",367.7
32623,"N-ethyl-4-heptadecyl-6-(trichloromethyl)-1,3,5-triazin-2-amine","C23H41Cl3N4","CCCCCCCCCCCCCCCCCC1=NC(=NC(=N1)NCC)C(Cl)(Cl)Cl",480.0
32624,"4-(2-chloroethyl)-N-ethyl-6-(trichloromethyl)-1,3,5-triazin-2-amine","C8H10Cl4N4","CCNC1=NC(=NC(=N1)C(Cl)(Cl)Cl)CCCl",304.0
32625,"4-(2-chloroethyl)-N-propyl-6-(trichloromethyl)-1,3,5-triazin-2-amine","C9H12Cl4N4","CCCNC1=NC(=NC(=N1)C(Cl)(Cl)Cl)CCCl",318.0
32626,"4-(2-bromoethyl)-N-ethyl-6-(trichloromethyl)-1,3,5-triazin-2-amine","C8H10BrCl3N4","CCNC1=NC(=NC(=N1)C(Cl)(Cl)Cl)CCBr",348.5
32627,"N-ethyl-4-(1,1,2-trichloroethyl)-6-(trichloromethyl)-1,3,5-triazin-2-amine","C8H8Cl6N4","CCNC1=NC(=NC(=N1)C(Cl)(Cl)Cl)C(CCl)(Cl)Cl",372.9
32628,"N-ethyl-4-prop-2-ynyl-6-(trichloromethyl)-1,3,5-triazin-2-amine","C9H9Cl3N4","CCNC1=NC(=NC(=N1)C(Cl)(Cl)Cl)CC#C",279.5
32629,"N-methyl-4-phenyl-6-(trichloromethyl)-1,3,5-triazin-2-amine","C11H9Cl3N4","CNC1=NC(=NC(=N1)C(Cl)(Cl)Cl)C2=CC=CC=C2",303.6
32630,"N-ethyl-4-phenyl-6-(trichloromethyl)-1,3,5-triazin-2-amine","C12H11Cl3N4","CCNC1=NC(=NC(=N1)C(Cl)(Cl)Cl)C2=CC=CC=C2",317.6
32631,"4-phenyl-N-propyl-6-(trichloromethyl)-1,3,5-triazin-2-amine","C13H13Cl3N4","CCCNC1=NC(=NC(=N1)C(Cl)(Cl)Cl)C2=CC=CC=C2",331.6
32632,"4-phenyl-N-propan-2-yl-6-(trichloromethyl)-1,3,5-triazin-2-amine","C13H13Cl3N4","CC(C)NC1=NC(=NC(=N1)C(Cl)(Cl)Cl)C2=CC=CC=C2",331.6
32633,"N-dodecyl-4,6-bis(trichloromethyl)-1,3,5-triazin-2-amine","C17H26Cl6N4","CCCCCCCCCCCCNC1=NC(=NC(=N1)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl",499.1
32634,"1,3,5-Triazin-2-amine, N,N-dimethyl-4,6-bis(trichloromethyl)-","C7H6Cl6N4","CN(C)C1=NC(=NC(=N1)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl",358.9
32635,"N,N-diethyl-4,6-bis(trichloromethyl)-1,3,5-triazin-2-amine","C9H10Cl6N4","CCN(CC)C1=NC(=NC(=N1)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl",386.9
32636,"N,N-dipropyl-4,6-bis(trichloromethyl)-1,3,5-triazin-2-amine","C11H14Cl6N4","CCCN(CCC)C1=NC(=NC(=N1)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl",415.0
32637,"2-Piperidin-1-yl-4,6-bis(trichloromethyl)-1,3,5-triazine","C10H10Cl6N4","C1CCN(CC1)C2=NC(=NC(=N2)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl",398.9
32638,"4-[4,6-Bis(trichloromethyl)-1,3,5-triazin-2-yl]morpholine","C9H8Cl6N4O","C1COCCN1C2=NC(=NC(=N2)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl",400.9
32639,"2-[[4,6-Bis(trichloromethyl)-1,3,5-triazin-2-yl]amino]ethanol","C7H6Cl6N4O","C(CO)NC1=NC(=NC(=N1)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl",374.9
32640,"3-[[4,6-Bis(trichloromethyl)-1,3,5-triazin-2-yl]amino]propan-1-ol","C8H8Cl6N4O","C(CNC1=NC(=NC(=N1)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl)CO",388.9
32641,"N-(2-methoxyethyl)-4,6-bis(trichloromethyl)-1,3,5-triazin-2-amine","C8H8Cl6N4O","COCCNC1=NC(=NC(=N1)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl",388.9
32642,"N-[4,6-bis(trichloromethyl)-1,3,5-triazin-2-yl]-N',N'-dimethylethane-1,2-diamine","C9H11Cl6N5","CN(C)CCNC1=NC(=NC(=N1)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl",401.9
