"CID","Title","MolecularFormula","ConnectivitySMILES","MolecularWeight"
33801,"Ammonium, (p-(trimethylammonio)phenethyl)trimethyl-, diiodide","C14H26I2N2","C[N+](C)(C)CCC1=CC=C(C=C1)[N+](C)(C)C.[I-].[I-]",476.18
33802,"Trimethyl-[4-[2-(trimethylazaniumyl)ethyl]phenyl]azanium","C14H26N2+2","C[N+](C)(C)CCC1=CC=C(C=C1)[N+](C)(C)C",222.37
33803,"Ammonium, trimethylenebis(trimethyl-, diiodide","C9H24I2N2","C[N+](C)(C)CCC[N+](C)(C)C.[I-].[I-]",414.11
33804,"Malononitrile, (p-(benzyloxy)benzylidene)-","C17H12N2O","C1=CC=C(C=C1)COC2=CC=C(C=C2)C=C(C#N)C#N",260.29
33805,"","C8H11NO2","CCCC=NC1C=CC(=O)O1",153.18
33806,"Benzofuran, 2-nitro-3,5,6-trimethyl-","C11H11NO3","CC1=CC2=C(C=C1C)OC(=C2C)[N+](=O)[O-]",205.21
33807,"2-Butyl-3-ethyloxirane","C8H16O","CCCCC1C(O1)CC",128.21
33808,"2-N-ethyl-4-N,6-dimethyl-1,3,5-triazine-2,4-diamine","C7H13N5","CCNC1=NC(=NC(=N1)NC)C",167.21
33809,"4-N,6-dimethyl-2-N-propyl-1,3,5-triazine-2,4-diamine","C8H15N5","CCCNC1=NC(=NC(=N1)NC)C",181.24
33810,"4-N,6-dimethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine","C8H15N5","CC1=NC(=NC(=N1)NC(C)C)NC",181.24
33811,"2-N-butyl-4-N,6-dimethyl-1,3,5-triazine-2,4-diamine","C9H17N5","CCCCNC1=NC(=NC(=N1)NC)C",195.27
33812,"4-N-ethyl-6-methyl-2-N-propyl-1,3,5-triazine-2,4-diamine","C9H17N5","CCCNC1=NC(=NC(=N1)NCC)C",195.27
33813,"4-N-ethyl-6-methyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine","C9H17N5","CCNC1=NC(=NC(=N1)C)NC(C)C",195.27
33814,"2-N-butyl-4-N-ethyl-6-methyl-1,3,5-triazine-2,4-diamine","C10H19N5","CCCCNC1=NC(=NC(=N1)NCC)C",209.29
33815,"2-N-butan-2-yl-4-N-ethyl-6-methyl-1,3,5-triazine-2,4-diamine","C10H19N5","CCC(C)NC1=NC(=NC(=N1)NCC)C",209.29
33816,"2-N-tert-butyl-4-N-ethyl-6-methyl-1,3,5-triazine-2,4-diamine","C10H19N5","CCNC1=NC(=NC(=N1)C)NC(C)(C)C",209.29
33817,"4-N-ethyl-6-methyl-2-N-pentyl-1,3,5-triazine-2,4-diamine","C11H21N5","CCCCCNC1=NC(=NC(=N1)NCC)C",223.32
33818,"4-N-ethyl-2-N-hexyl-6-methyl-1,3,5-triazine-2,4-diamine","C12H23N5","CCCCCCNC1=NC(=NC(=N1)NCC)C",237.34
33819,"4-N-ethyl-6-methyl-2-N-octan-3-yl-1,3,5-triazine-2,4-diamine","C14H27N5","CCCCCC(CC)NC1=NC(=NC(=N1)NCC)C",265.40
33820,"2-N-dodecyl-4-N-ethyl-6-methyl-1,3,5-triazine-2,4-diamine","C18H35N5","CCCCCCCCCCCCNC1=NC(=NC(=N1)NCC)C",321.5
33821,"N-Ethyl-N'-(2-propenyl)-6-methyl-1,3,5-triazine-2,4-diamine","C9H15N5","CCNC1=NC(=NC(=N1)C)NCC=C",193.25
33822,"6-methyl-2-N-propan-2-yl-4-N-propyl-1,3,5-triazine-2,4-diamine","C10H19N5","CCCNC1=NC(=NC(=N1)C)NC(C)C",209.29
33823,"4-N-butyl-6-methyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine","C11H21N5","CCCCNC1=NC(=NC(=N1)C)NC(C)C",223.32
33824,"4-N-hexyl-6-methyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine","C13H25N5","CCCCCCNC1=NC(=NC(=N1)C)NC(C)C",251.37
33825,"4-N-dodecyl-6-methyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine","C19H37N5","CCCCCCCCCCCCNC1=NC(=NC(=N1)C)NC(C)C",335.5
33826,"6-methyl-2-N-propan-2-yl-4-N-prop-2-enyl-1,3,5-triazine-2,4-diamine","C10H17N5","CC1=NC(=NC(=N1)NC(C)C)NCC=C",207.28
33827,"N,N,N',6-tetramethyl-1,3,5-triazine-2,4-diamine","C7H13N5","CC1=NC(=NC(=N1)N(C)C)NC",167.21
33828,"2-N,2-N,6-trimethyl-4-N-propyl-1,3,5-triazine-2,4-diamine","C9H17N5","CCCNC1=NC(=NC(=N1)C)N(C)C",195.27
33829,"4-N-butyl-2-N,2-N,6-trimethyl-1,3,5-triazine-2,4-diamine","C10H19N5","CCCCNC1=NC(=NC(=N1)C)N(C)C",209.29
33830,"2-N,2-N,4-N-triethyl-6-methyl-1,3,5-triazine-2,4-diamine","C10H19N5","CCNC1=NC(=NC(=N1)C)N(CC)CC",209.29
