"CID","Title","MolecularFormula","ConnectivitySMILES","MolecularWeight"
35201,"2,4-Diphenyl-6-(trichloromethyl)-1,3,5-triazine","C16H10Cl3N3","C1=CC=C(C=C1)C2=NC(=NC(=N2)C(Cl)(Cl)Cl)C3=CC=CC=C3",350.6
35202,"2,4-Bis(4-chlorophenyl)-6-(trichloromethyl)-1,3,5-triazine","C16H8Cl5N3","C1=CC(=CC=C1C2=NC(=NC(=N2)C(Cl)(Cl)Cl)C3=CC=C(C=C3)Cl)Cl",419.5
35203,"2,4-Bis(4-methylphenyl)-6-(trichloromethyl)-1,3,5-triazine","C18H14Cl3N3","CC1=CC=C(C=C1)C2=NC(=NC(=N2)C(Cl)(Cl)Cl)C3=CC=C(C=C3)C",378.7
35204,"2-(1-Bromoethyl)-4,6-diethyl-1,3,5-triazine","C9H14BrN3","CCC1=NC(=NC(=N1)C(C)Br)CC",244.13
35205,"2-Ethenyl-4,6-diethyl-1,3,5-triazine","C9H13N3","CCC1=NC(=NC(=N1)C=C)CC",163.22
35206,"2,4-Diethyl-6-phenyl-1,3,5-triazine","C13H15N3","CCC1=NC(=NC(=N1)C2=CC=CC=C2)CC",213.28
35207,"1-(4,6-Diethyl-1,3,5-triazin-2-yl)ethyl acetate","C11H17N3O2","CCC1=NC(=NC(=N1)C(C)OC(=O)C)CC",223.27
35208,"6-Ethyl-2,4-diphenyl-1,3,5-triazine","C17H15N3","CCC1=NC(=NC(=N1)C2=CC=CC=C2)C3=CC=CC=C3",261.32
35209,"2,4,6-Tris(1-chloroethyl)-1,3,5-triazine","C9H12Cl3N3","CC(C1=NC(=NC(=N1)C(C)Cl)C(C)Cl)Cl",268.6
35210,"2-(1-Chloroethyl)-4,6-diphenyl-1,3,5-triazine","C17H14ClN3","CC(C1=NC(=NC(=N1)C2=CC=CC=C2)C3=CC=CC=C3)Cl",295.8
35211,"2,4,6-Tris(1,1-dichloroethyl)-1,3,5-triazine","C9H9Cl6N3","CC(C1=NC(=NC(=N1)C(C)(Cl)Cl)C(C)(Cl)Cl)(Cl)Cl",371.9
35212,"2,4,6-Tris(1,1,2-trichloroethyl)-1,3,5-triazine","C9H6Cl9N3","C(C(C1=NC(=NC(=N1)C(CCl)(Cl)Cl)C(CCl)(Cl)Cl)(Cl)Cl)Cl",475.2
35213,"2,4,6-Tris(1,1,2,2-tetrachloroethyl)-1,3,5-triazine","C9H3Cl12N3","C1(=NC(=NC(=N1)C(C(Cl)Cl)(Cl)Cl)C(C(Cl)Cl)(Cl)Cl)C(C(Cl)Cl)(Cl)Cl",578.6
35214,"2,4,6-Tris(1,1,2,2,2-pentachloroethyl)-1,3,5-triazine","C9Cl15N3","C1(=NC(=NC(=N1)C(C(Cl)(Cl)Cl)(Cl)Cl)C(C(Cl)(Cl)Cl)(Cl)Cl)C(C(Cl)(Cl)Cl)(Cl)Cl",681.9
35215,"2,4,6-Tris(1-bromoethyl)-1,3,5-triazine","C9H12Br3N3","CC(C1=NC(=NC(=N1)C(C)Br)C(C)Br)Br",401.92
35216,"2-(1-Bromoethyl)-4,6-diphenyl-1,3,5-triazine","C17H14BrN3","CC(C1=NC(=NC(=N1)C2=CC=CC=C2)C3=CC=CC=C3)Br",340.2
35217,"2,4,6-Tris(1,1-dibromoethyl)-1,3,5-triazine","C9H9Br6N3","CC(C1=NC(=NC(=N1)C(C)(Br)Br)C(C)(Br)Br)(Br)Br",638.6
35218,"2-Propyl-4,6-diphenyl-sym-triazine","C18H17N3","CCCC1=NC(=NC(=N1)C2=CC=CC=C2)C3=CC=CC=C3",275.3
35219,"2,4,6-Tri(nonyl)-1,3,5-triazine","C30H57N3","CCCCCCCCCC1=NC(=NC(=N1)CCCCCCCCC)CCCCCCCCC",459.8
35220,"","C27H18Cl3N3","C1=CC(=CC=C1C=CC2=NC(=NC(=N2)C=CC3=CC=C(C=C3)Cl)C=CC4=CC=C(C=C4)Cl)Cl",490.8
35221,"3-(4,6-Diphenyl-1,3,5-triazin-2-yl)aniline","C21H16N4","C1=CC=C(C=C1)C2=NC(=NC(=N2)C3=CC(=CC=C3)N)C4=CC=CC=C4",324.4
35222,"2,4-Bis(3-nitrophenyl)-6-phenyl-1,3,5-triazine","C21H13N5O4","C1=CC=C(C=C1)C2=NC(=NC(=N2)C3=CC(=CC=C3)[N+](=O)[O-])C4=CC(=CC=C4)[N+](=O)[O-]",399.4
35223,"2,4-Bis(4-nitrophenyl)-6-phenyl-1,3,5-triazine","C21H13N5O4","C1=CC=C(C=C1)C2=NC(=NC(=N2)C3=CC=C(C=C3)[N+](=O)[O-])C4=CC=C(C=C4)[N+](=O)[O-]",399.4
35224,"2,4,6-Tris(4-bromophenyl)-1,3,5-triazine","C21H12Br3N3","C1=CC(=CC=C1C2=NC(=NC(=N2)C3=CC=C(C=C3)Br)C4=CC=C(C=C4)Br)Br",546.1
35225,"2-[4,6-Bis[2-(2-chlorophenyl)-2-hydroxyethyl]-1,3,5-triazin-2-yl]-1-(2-chlorophenyl)ethanol","C27H24Cl3N3O3","C1=CC=C(C(=C1)C(CC2=NC(=NC(=N2)CC(C3=CC=CC=C3Cl)O)CC(C4=CC=CC=C4Cl)O)O)Cl",544.9
35226,"2-[4,6-Bis[2-(2,4-dichlorophenyl)-2-hydroxyethyl]-1,3,5-triazin-2-yl]-1-(2,4-dichlorophenyl)ethanol","C27H21Cl6N3O3","C1=CC(=C(C=C1Cl)Cl)C(CC2=NC(=NC(=N2)CC(C3=C(C=C(C=C3)Cl)Cl)O)CC(C4=C(C=C(C=C4)Cl)Cl)O)O",648.2
35227,"Mercury, bis(O,O-dibutylphosphorodithioato-S)-","C16H36HgO4P2S4","CCCCOP(=S)(OCCCC)[S-].CCCCOP(=S)(OCCCC)[S-].[Hg+2]",683.3
35228,"Phosphorodithioic acid, O,O-dibutyl ester","C8H19O2PS2","CCCCOP(=S)(OCCCC)S",242.3
35229,"2-N-ethyl-1,3,5-triazine-2,4-diamine","C5H9N5","CCNC1=NC=NC(=N1)N",139.16
35230,"2-N,4-N-dimethyl-1,3,5-triazine-2,4-diamine","C5H9N5","CNC1=NC(=NC=N1)NC",139.16
35231,"2-N-ethyl-6-methyl-1,3,5-triazine-2,4-diamine","C6H11N5","CCNC1=NC(=NC(=N1)N)C",153.19
35232,"4-hydrazinyl-N,6-dimethyl-1,3,5-triazin-2-amine","C5H10N6","CC1=NC(=NC(=N1)NN)NC",154.17
35233,"2-N,2-N-diethyl-4-N,4-N,6-trimethyl-1,3,5-triazine-2,4-diamine","C10H19N5","CCN(CC)C1=NC(=NC(=N1)N(C)C)C",209.29
35234,"2,6-Di[4-chloroanilino]-4-methyl-S-triazine","C16H13Cl2N5","CC1=NC(=NC(=N1)NC2=CC=C(C=C2)Cl)NC3=CC=C(C=C3)Cl",346.2
35235,"2-N,4-N-bis(2-methoxyethyl)-6-methyl-1,3,5-triazine-2,4-diamine","C10H19N5O2","CC1=NC(=NC(=N1)NCCOC)NCCOC",241.29
35236,"3-[[4-(2-Cyanoethylamino)-6-methyl-1,3,5-triazin-2-yl]amino]propanenitrile","C10H13N7","CC1=NC(=NC(=N1)NCCC#N)NCCC#N",231.26
35237,"4,6-Dipentyl-1,3,5-triazin-2-amine","C13H24N4","CCCCCC1=NC(=NC(=N1)N)CCCCC",236.36
35238,"4-Nonyl-6-(trichloromethyl)-1,3,5-triazin-2-amine","C13H21Cl3N4","CCCCCCCCCC1=NC(=NC(=N1)N)C(Cl)(Cl)Cl",339.7
35239,"4-Heptadecyl-6-(trichloromethyl)-1,3,5-triazin-2-amine","C21H37Cl3N4","CCCCCCCCCCCCCCCCCC1=NC(=NC(=N1)N)C(Cl)(Cl)Cl",451.9
35240,"s-Triazine, 2-amino-4-phenyl-6-(trichloromethyl)-","C10H7Cl3N4","C1=CC=C(C=C1)C2=NC(=NC(=N2)N)C(Cl)(Cl)Cl",289.5
35241,"4-(2,4-Dichlorophenyl)-6-(trichloromethyl)-1,3,5-triazin-2-amine","C10H5Cl5N4","C1=CC(=C(C=C1Cl)Cl)C2=NC(=NC(=N2)N)C(Cl)(Cl)Cl",358.4
35242,"4-(4-Methylphenyl)-6-(trichloromethyl)-1,3,5-triazin-2-amine","C11H9Cl3N4","CC1=CC=C(C=C1)C2=NC(=NC(=N2)N)C(Cl)(Cl)Cl",303.6
35243,"4-(4-Methoxyphenyl)-6-(trichloromethyl)-1,3,5-triazin-2-amine","C11H9Cl3N4O","COC1=CC=C(C=C1)C2=NC(=NC(=N2)N)C(Cl)(Cl)Cl",319.6
35244,"4-(3-Nitrophenyl)-6-(trichloromethyl)-1,3,5-triazin-2-amine","C10H6Cl3N5O2","C1=CC(=CC(=C1)[N+](=O)[O-])C2=NC(=NC(=N2)N)C(Cl)(Cl)Cl",334.5
35245,"N,4,6-triphenyl-1,3,5-triazin-2-amine","C21H16N4","C1=CC=C(C=C1)C2=NC(=NC(=N2)NC3=CC=CC=C3)C4=CC=CC=C4",324.4
35246,"4,6-Bis(4-chlorophenyl)-1,3,5-triazin-2-amine","C15H10Cl2N4","C1=CC(=CC=C1C2=NC(=NC(=N2)N)C3=CC=C(C=C3)Cl)Cl",317.2
35247,"4-chloro-N-ethyl-6-methyl-1,3,5-triazin-2-amine","C6H9ClN4","CCNC1=NC(=NC(=N1)C)Cl",172.61
35248,"4-Chloro-6-(diazomethyl)-1,3,5-triazin-2-amine","C4H3ClN6","C(=[N+]=[N-])C1=NC(=NC(=N1)Cl)N",170.56
35249,"4-Chloro-6-ethyl-1,3,5-triazin-2-amine","C5H7ClN4","CCC1=NC(=NC(=N1)Cl)N",158.59
35250,"4-chloro-N,6-diethyl-1,3,5-triazin-2-amine","C7H11ClN4","CCC1=NC(=NC(=N1)Cl)NCC",186.64
35251,"4-Chloro-6-propyl-1,3,5-triazin-2-amine","C6H9ClN4","CCCC1=NC(=NC(=N1)Cl)N",172.61
35252,"2-Amino-4-chloro-6-(4-chlorophenyl)-s-triazine","C9H6Cl2N4","C1=CC(=CC=C1C2=NC(=NC(=N2)Cl)N)Cl",241.07
35253,"4-methoxy-6-methyl-N-phenyl-1,3,5-triazin-2-amine","C11H12N4O","CC1=NC(=NC(=N1)OC)NC2=CC=CC=C2",216.24
35254,"4-Methoxy-6-phenyl-1,3,5-triazin-2-amine","C10H10N4O","COC1=NC(=NC(=N1)N)C2=CC=CC=C2",202.21
35255,"N-ethyl-4-methoxy-6-phenyl-1,3,5-triazin-2-amine","C12H14N4O","CCNC1=NC(=NC(=N1)C2=CC=CC=C2)OC",230.27
35256,"N-ethyl-4-methyl-6-phenoxy-1,3,5-triazin-2-amine","C12H14N4O","CCNC1=NC(=NC(=N1)C)OC2=CC=CC=C2",230.27
35257,"Symtriazine2trichloromethyl4methylthio6ethylamin","C7H9Cl3N4S","CCNC1=NC(=NC(=N1)C(Cl)(Cl)Cl)SC",287.6
35258,"4-methylsulfanyl-N-propyl-6-(trichloromethyl)-1,3,5-triazin-2-amine","C8H11Cl3N4S","CCCNC1=NC(=NC(=N1)C(Cl)(Cl)Cl)SC",301.6
35259,"4-methylsulfanyl-N-prop-2-enyl-6-(trichloromethyl)-1,3,5-triazin-2-amine","C8H9Cl3N4S","CSC1=NC(=NC(=N1)NCC=C)C(Cl)(Cl)Cl",299.6
35260,"4-methylsulfanyl-N-propan-2-yl-6-(trichloromethyl)-1,3,5-triazin-2-amine","C8H11Cl3N4S","CC(C)NC1=NC(=NC(=N1)C(Cl)(Cl)Cl)SC",301.6
35261,"N-butyl-4-methylsulfanyl-6-(trichloromethyl)-1,3,5-triazin-2-amine","C9H13Cl3N4S","CCCCNC1=NC(=NC(=N1)C(Cl)(Cl)Cl)SC",315.6
35262,"N-(2-methylpropyl)-4-methylsulfanyl-6-(trichloromethyl)-1,3,5-triazin-2-amine","C9H13Cl3N4S","CC(C)CNC1=NC(=NC(=N1)C(Cl)(Cl)Cl)SC",315.6
